commodities,sectors,table,subtable
22,3364OT,use,intermediate_demand
22,487OS,use,intermediate_demand
22,4A0,use,intermediate_demand
22,521CI,use,intermediate_demand
22,532RL,use,intermediate_demand
22,5412OP,use,intermediate_demand
22,711AS,use,intermediate_demand
22,GFE,use,intermediate_demand
22,GFGD,use,intermediate_demand
22,GFGN,use,intermediate_demand
22,GSLE,use,intermediate_demand
22,GSLG,use,intermediate_demand
22,HS,use,intermediate_demand
22,ORE,use,intermediate_demand
23,22,use,intermediate_demand
23,23,use,intermediate_demand
23,42,use,intermediate_demand
23,55,use,intermediate_demand
23,61,use,intermediate_demand
23,81,use,intermediate_demand
23,211,use,intermediate_demand
23,212,use,intermediate_demand
23,213,use,intermediate_demand
23,321,use,intermediate_demand
23,322,use,intermediate_demand
23,323,use,intermediate_demand
23,324,use,intermediate_demand
23,325,use,intermediate_demand
23,326,use,intermediate_demand
23,327,use,intermediate_demand
23,331,use,intermediate_demand
23,332,use,intermediate_demand
23,333,use,intermediate_demand
23,334,use,intermediate_demand
23,335,use,intermediate_demand
23,337,use,intermediate_demand
23,339,use,intermediate_demand
23,441,use,intermediate_demand
23,445,use,intermediate_demand
23,452,use,intermediate_demand
23,481,use,intermediate_demand
23,482,use,intermediate_demand
23,483,use,intermediate_demand
23,484,use,intermediate_demand
23,485,use,intermediate_demand
23,486,use,intermediate_demand
23,493,use,intermediate_demand
23,511,use,intermediate_demand
23,512,use,intermediate_demand
23,513,use,intermediate_demand
23,514,use,intermediate_demand
23,523,use,intermediate_demand
23,524,use,intermediate_demand
23,525,use,intermediate_demand
23,561,use,intermediate_demand
23,562,use,intermediate_demand
23,621,use,intermediate_demand
23,622,use,intermediate_demand
23,623,use,intermediate_demand
23,624,use,intermediate_demand
23,713,use,intermediate_demand
23,721,use,intermediate_demand
23,722,use,intermediate_demand
23,5411,use,intermediate_demand
23,5415,use,intermediate_demand
23,111CA,use,intermediate_demand
23,113FF,use,intermediate_demand
23,311FT,use,intermediate_demand
23,313TT,use,intermediate_demand
23,315AL,use,intermediate_demand
23,3361MV,use,intermediate_demand
23,3364OT,use,intermediate_demand
23,487OS,use,intermediate_demand
23,4A0,use,intermediate_demand
23,521CI,use,intermediate_demand
23,532RL,use,intermediate_demand
23,5412OP,use,intermediate_demand
23,711AS,use,intermediate_demand
23,GFE,use,intermediate_demand
23,GFGD,use,intermediate_demand
23,GFGN,use,intermediate_demand
23,GSLE,use,intermediate_demand
23,GSLG,use,intermediate_demand
23,HS,use,intermediate_demand
23,ORE,use,intermediate_demand
42,22,use,intermediate_demand
42,23,use,intermediate_demand
42,42,use,intermediate_demand
42,55,use,intermediate_demand
42,61,use,intermediate_demand
42,81,use,intermediate_demand
42,211,use,intermediate_demand
42,212,use,intermediate_demand
42,213,use,intermediate_demand
42,321,use,intermediate_demand
42,322,use,intermediate_demand
42,323,use,intermediate_demand
42,324,use,intermediate_demand
42,325,use,intermediate_demand
42,326,use,intermediate_demand
42,327,use,intermediate_demand
42,331,use,intermediate_demand
42,332,use,intermediate_demand
42,333,use,intermediate_demand
42,334,use,intermediate_demand
42,335,use,intermediate_demand
42,337,use,intermediate_demand
42,339,use,intermediate_demand
42,441,use,intermediate_demand
42,445,use,intermediate_demand
42,452,use,intermediate_demand
42,481,use,intermediate_demand
42,482,use,intermediate_demand
42,483,use,intermediate_demand
42,484,use,intermediate_demand
42,485,use,intermediate_demand
42,486,use,intermediate_demand
42,493,use,intermediate_demand
42,511,use,intermediate_demand
42,512,use,intermediate_demand
42,513,use,intermediate_demand
42,514,use,intermediate_demand
42,523,use,intermediate_demand
42,524,use,intermediate_demand
42,525,use,intermediate_demand
42,561,use,intermediate_demand
42,562,use,intermediate_demand
42,621,use,intermediate_demand
42,622,use,intermediate_demand
42,623,use,intermediate_demand
42,624,use,intermediate_demand
42,713,use,intermediate_demand
42,721,use,intermediate_demand
42,722,use,intermediate_demand
42,5411,use,intermediate_demand
42,5415,use,intermediate_demand
42,111CA,use,intermediate_demand
42,113FF,use,intermediate_demand
42,311FT,use,intermediate_demand
42,313TT,use,intermediate_demand
42,315AL,use,intermediate_demand
42,3361MV,use,intermediate_demand
42,3364OT,use,intermediate_demand
42,487OS,use,intermediate_demand
42,4A0,use,intermediate_demand
42,521CI,use,intermediate_demand
42,532RL,use,intermediate_demand
42,5412OP,use,intermediate_demand
42,711AS,use,intermediate_demand
42,GFE,use,intermediate_demand
42,GFGD,use,intermediate_demand
42,GFGN,use,intermediate_demand
42,GSLE,use,intermediate_demand
42,GSLG,use,intermediate_demand
42,HS,use,intermediate_demand
42,ORE,use,intermediate_demand
55,22,use,intermediate_demand
55,23,use,intermediate_demand
55,42,use,intermediate_demand
55,55,use,intermediate_demand
55,61,use,intermediate_demand
55,81,use,intermediate_demand
55,211,use,intermediate_demand
55,212,use,intermediate_demand
55,213,use,intermediate_demand
55,321,use,intermediate_demand
55,322,use,intermediate_demand
55,323,use,intermediate_demand
55,324,use,intermediate_demand
55,325,use,intermediate_demand
55,326,use,intermediate_demand
55,327,use,intermediate_demand
55,331,use,intermediate_demand
55,332,use,intermediate_demand
55,333,use,intermediate_demand
55,334,use,intermediate_demand
55,335,use,intermediate_demand
55,337,use,intermediate_demand
55,339,use,intermediate_demand
55,441,use,intermediate_demand
55,445,use,intermediate_demand
55,452,use,intermediate_demand
55,481,use,intermediate_demand
55,482,use,intermediate_demand
55,483,use,intermediate_demand
55,484,use,intermediate_demand
55,485,use,intermediate_demand
55,486,use,intermediate_demand
55,493,use,intermediate_demand
55,511,use,intermediate_demand
55,512,use,intermediate_demand
55,513,use,intermediate_demand
55,514,use,intermediate_demand
55,523,use,intermediate_demand
55,524,use,intermediate_demand
55,525,use,intermediate_demand
55,561,use,intermediate_demand
55,562,use,intermediate_demand
55,621,use,intermediate_demand
55,622,use,intermediate_demand
55,623,use,intermediate_demand
55,624,use,intermediate_demand
55,713,use,intermediate_demand
55,721,use,intermediate_demand
55,722,use,intermediate_demand
55,5411,use,intermediate_demand
55,5415,use,intermediate_demand
55,111CA,use,intermediate_demand
55,113FF,use,intermediate_demand
55,311FT,use,intermediate_demand
55,313TT,use,intermediate_demand
55,315AL,use,intermediate_demand
55,3361MV,use,intermediate_demand
55,3364OT,use,intermediate_demand
55,487OS,use,intermediate_demand
55,4A0,use,intermediate_demand
55,521CI,use,intermediate_demand
55,532RL,use,intermediate_demand
55,5412OP,use,intermediate_demand
55,711AS,use,intermediate_demand
55,GFE,use,intermediate_demand
55,GFGD,use,intermediate_demand
55,GFGN,use,intermediate_demand
55,GSLE,use,intermediate_demand
55,GSLG,use,intermediate_demand
55,HS,use,intermediate_demand
55,ORE,use,intermediate_demand
61,22,use,intermediate_demand
61,23,use,intermediate_demand
61,42,use,intermediate_demand
61,55,use,intermediate_demand
61,61,use,intermediate_demand
61,81,use,intermediate_demand
61,211,use,intermediate_demand
61,212,use,intermediate_demand
61,213,use,intermediate_demand
61,321,use,intermediate_demand
61,322,use,intermediate_demand
61,323,use,intermediate_demand
61,324,use,intermediate_demand
61,325,use,intermediate_demand
61,326,use,intermediate_demand
61,327,use,intermediate_demand
61,331,use,intermediate_demand
61,332,use,intermediate_demand
61,333,use,intermediate_demand
61,334,use,intermediate_demand
61,335,use,intermediate_demand
61,337,use,intermediate_demand
61,339,use,intermediate_demand
61,441,use,intermediate_demand
61,445,use,intermediate_demand
61,452,use,intermediate_demand
61,481,use,intermediate_demand
61,482,use,intermediate_demand
61,483,use,intermediate_demand
61,484,use,intermediate_demand
61,485,use,intermediate_demand
61,486,use,intermediate_demand
61,493,use,intermediate_demand
61,511,use,intermediate_demand
61,512,use,intermediate_demand
61,513,use,intermediate_demand
61,514,use,intermediate_demand
61,523,use,intermediate_demand
61,524,use,intermediate_demand
61,525,use,intermediate_demand
61,561,use,intermediate_demand
61,562,use,intermediate_demand
61,621,use,intermediate_demand
61,622,use,intermediate_demand
61,623,use,intermediate_demand
61,624,use,intermediate_demand
61,713,use,intermediate_demand
61,721,use,intermediate_demand
61,722,use,intermediate_demand
61,5411,use,intermediate_demand
61,5415,use,intermediate_demand
61,111CA,use,intermediate_demand
61,113FF,use,intermediate_demand
61,311FT,use,intermediate_demand
61,313TT,use,intermediate_demand
61,315AL,use,intermediate_demand
61,3361MV,use,intermediate_demand
61,3364OT,use,intermediate_demand
61,487OS,use,intermediate_demand
61,4A0,use,intermediate_demand
61,521CI,use,intermediate_demand
61,532RL,use,intermediate_demand
61,5412OP,use,intermediate_demand
61,711AS,use,intermediate_demand
61,GFE,use,intermediate_demand
61,GFGD,use,intermediate_demand
61,GFGN,use,intermediate_demand
61,GSLE,use,intermediate_demand
61,GSLG,use,intermediate_demand
61,HS,use,intermediate_demand
61,ORE,use,intermediate_demand
81,22,use,intermediate_demand
81,23,use,intermediate_demand
81,42,use,intermediate_demand
81,55,use,intermediate_demand
81,61,use,intermediate_demand
81,81,use,intermediate_demand
81,211,use,intermediate_demand
81,212,use,intermediate_demand
81,213,use,intermediate_demand
81,321,use,intermediate_demand
81,322,use,intermediate_demand
81,323,use,intermediate_demand
81,324,use,intermediate_demand
81,325,use,intermediate_demand
81,326,use,intermediate_demand
81,327,use,intermediate_demand
81,331,use,intermediate_demand
81,332,use,intermediate_demand
81,333,use,intermediate_demand
81,334,use,intermediate_demand
81,335,use,intermediate_demand
81,337,use,intermediate_demand
81,339,use,intermediate_demand
81,441,use,intermediate_demand
81,445,use,intermediate_demand
81,452,use,intermediate_demand
81,481,use,intermediate_demand
81,482,use,intermediate_demand
81,483,use,intermediate_demand
81,484,use,intermediate_demand
81,485,use,intermediate_demand
81,486,use,intermediate_demand
81,493,use,intermediate_demand
81,511,use,intermediate_demand
81,512,use,intermediate_demand
81,513,use,intermediate_demand
81,514,use,intermediate_demand
81,523,use,intermediate_demand
81,524,use,intermediate_demand
81,525,use,intermediate_demand
81,561,use,intermediate_demand
81,562,use,intermediate_demand
81,621,use,intermediate_demand
81,622,use,intermediate_demand
81,623,use,intermediate_demand
81,624,use,intermediate_demand
81,713,use,intermediate_demand
81,721,use,intermediate_demand
81,722,use,intermediate_demand
81,5411,use,intermediate_demand
81,5415,use,intermediate_demand
81,111CA,use,intermediate_demand
81,113FF,use,intermediate_demand
81,311FT,use,intermediate_demand
81,313TT,use,intermediate_demand
81,315AL,use,intermediate_demand
81,3361MV,use,intermediate_demand
81,3364OT,use,intermediate_demand
81,487OS,use,intermediate_demand
81,4A0,use,intermediate_demand
81,521CI,use,intermediate_demand
81,532RL,use,intermediate_demand
81,5412OP,use,intermediate_demand
81,711AS,use,intermediate_demand
81,GFE,use,intermediate_demand
81,GFGD,use,intermediate_demand
81,GFGN,use,intermediate_demand
81,GSLE,use,intermediate_demand
81,GSLG,use,intermediate_demand
81,HS,use,intermediate_demand
81,ORE,use,intermediate_demand
211,22,use,intermediate_demand
211,23,use,intermediate_demand
211,42,use,intermediate_demand
211,55,use,intermediate_demand
211,61,use,intermediate_demand
211,81,use,intermediate_demand
211,211,use,intermediate_demand
211,212,use,intermediate_demand
211,213,use,intermediate_demand
211,321,use,intermediate_demand
211,322,use,intermediate_demand
211,323,use,intermediate_demand
211,324,use,intermediate_demand
211,325,use,intermediate_demand
211,326,use,intermediate_demand
211,327,use,intermediate_demand
211,331,use,intermediate_demand
211,332,use,intermediate_demand
211,333,use,intermediate_demand
211,334,use,intermediate_demand
211,335,use,intermediate_demand
211,337,use,intermediate_demand
211,339,use,intermediate_demand
211,441,use,intermediate_demand
211,445,use,intermediate_demand
211,452,use,intermediate_demand
211,481,use,intermediate_demand
211,482,use,intermediate_demand
211,483,use,intermediate_demand
211,484,use,intermediate_demand
211,485,use,intermediate_demand
211,486,use,intermediate_demand
211,493,use,intermediate_demand
211,511,use,intermediate_demand
211,512,use,intermediate_demand
211,513,use,intermediate_demand
211,514,use,intermediate_demand
211,523,use,intermediate_demand
211,524,use,intermediate_demand
211,525,use,intermediate_demand
211,561,use,intermediate_demand
211,562,use,intermediate_demand
211,621,use,intermediate_demand
211,622,use,intermediate_demand
211,623,use,intermediate_demand
211,624,use,intermediate_demand
211,713,use,intermediate_demand
211,721,use,intermediate_demand
211,722,use,intermediate_demand
211,5411,use,intermediate_demand
211,5415,use,intermediate_demand
211,111CA,use,intermediate_demand
211,113FF,use,intermediate_demand
211,311FT,use,intermediate_demand
211,313TT,use,intermediate_demand
211,315AL,use,intermediate_demand
211,3361MV,use,intermediate_demand
211,3364OT,use,intermediate_demand
211,487OS,use,intermediate_demand
211,4A0,use,intermediate_demand
211,521CI,use,intermediate_demand
211,532RL,use,intermediate_demand
211,5412OP,use,intermediate_demand
211,711AS,use,intermediate_demand
211,GFE,use,intermediate_demand
211,GFGD,use,intermediate_demand
211,GFGN,use,intermediate_demand
211,GSLE,use,intermediate_demand
211,GSLG,use,intermediate_demand
211,HS,use,intermediate_demand
211,ORE,use,intermediate_demand
212,22,use,intermediate_demand
212,23,use,intermediate_demand
212,42,use,intermediate_demand
212,55,use,intermediate_demand
212,61,use,intermediate_demand
212,81,use,intermediate_demand
212,211,use,intermediate_demand
212,212,use,intermediate_demand
212,213,use,intermediate_demand
212,321,use,intermediate_demand
212,322,use,intermediate_demand
212,323,use,intermediate_demand
212,324,use,intermediate_demand
212,325,use,intermediate_demand
212,326,use,intermediate_demand
212,327,use,intermediate_demand
212,331,use,intermediate_demand
212,332,use,intermediate_demand
212,333,use,intermediate_demand
212,334,use,intermediate_demand
212,335,use,intermediate_demand
212,337,use,intermediate_demand
212,339,use,intermediate_demand
212,441,use,intermediate_demand
212,445,use,intermediate_demand
212,452,use,intermediate_demand
212,481,use,intermediate_demand
212,482,use,intermediate_demand
212,483,use,intermediate_demand
212,484,use,intermediate_demand
212,485,use,intermediate_demand
212,486,use,intermediate_demand
212,493,use,intermediate_demand
212,511,use,intermediate_demand
212,512,use,intermediate_demand
212,513,use,intermediate_demand
212,514,use,intermediate_demand
212,523,use,intermediate_demand
212,524,use,intermediate_demand
212,525,use,intermediate_demand
212,561,use,intermediate_demand
212,562,use,intermediate_demand
212,621,use,intermediate_demand
212,622,use,intermediate_demand
212,623,use,intermediate_demand
212,624,use,intermediate_demand
212,713,use,intermediate_demand
212,721,use,intermediate_demand
212,722,use,intermediate_demand
212,5411,use,intermediate_demand
212,5415,use,intermediate_demand
212,111CA,use,intermediate_demand
212,113FF,use,intermediate_demand
212,311FT,use,intermediate_demand
212,313TT,use,intermediate_demand
212,315AL,use,intermediate_demand
212,3361MV,use,intermediate_demand
212,3364OT,use,intermediate_demand
212,487OS,use,intermediate_demand
212,4A0,use,intermediate_demand
212,521CI,use,intermediate_demand
212,532RL,use,intermediate_demand
212,5412OP,use,intermediate_demand
212,711AS,use,intermediate_demand
212,GFE,use,intermediate_demand
212,GFGD,use,intermediate_demand
212,GFGN,use,intermediate_demand
212,GSLE,use,intermediate_demand
212,GSLG,use,intermediate_demand
212,HS,use,intermediate_demand
212,ORE,use,intermediate_demand
213,22,use,intermediate_demand
213,23,use,intermediate_demand
213,42,use,intermediate_demand
213,55,use,intermediate_demand
213,61,use,intermediate_demand
213,81,use,intermediate_demand
213,211,use,intermediate_demand
213,212,use,intermediate_demand
213,213,use,intermediate_demand
213,321,use,intermediate_demand
213,322,use,intermediate_demand
213,323,use,intermediate_demand
213,324,use,intermediate_demand
213,325,use,intermediate_demand
213,326,use,intermediate_demand
213,327,use,intermediate_demand
213,331,use,intermediate_demand
213,332,use,intermediate_demand
213,333,use,intermediate_demand
213,334,use,intermediate_demand
213,335,use,intermediate_demand
213,337,use,intermediate_demand
213,339,use,intermediate_demand
213,441,use,intermediate_demand
213,445,use,intermediate_demand
213,452,use,intermediate_demand
213,481,use,intermediate_demand
213,482,use,intermediate_demand
213,483,use,intermediate_demand
213,484,use,intermediate_demand
213,485,use,intermediate_demand
213,486,use,intermediate_demand
213,493,use,intermediate_demand
213,511,use,intermediate_demand
213,512,use,intermediate_demand
213,513,use,intermediate_demand
213,514,use,intermediate_demand
213,523,use,intermediate_demand
213,524,use,intermediate_demand
213,525,use,intermediate_demand
213,561,use,intermediate_demand
213,562,use,intermediate_demand
213,621,use,intermediate_demand
213,622,use,intermediate_demand
213,623,use,intermediate_demand
213,624,use,intermediate_demand
213,713,use,intermediate_demand
213,721,use,intermediate_demand
213,722,use,intermediate_demand
213,5411,use,intermediate_demand
213,5415,use,intermediate_demand
213,111CA,use,intermediate_demand
213,113FF,use,intermediate_demand
213,311FT,use,intermediate_demand
213,313TT,use,intermediate_demand
213,315AL,use,intermediate_demand
213,3361MV,use,intermediate_demand
213,3364OT,use,intermediate_demand
213,487OS,use,intermediate_demand
213,4A0,use,intermediate_demand
213,521CI,use,intermediate_demand
213,532RL,use,intermediate_demand
213,5412OP,use,intermediate_demand
213,711AS,use,intermediate_demand
213,GFE,use,intermediate_demand
213,GFGD,use,intermediate_demand
213,GFGN,use,intermediate_demand
213,GSLE,use,intermediate_demand
213,GSLG,use,intermediate_demand
213,HS,use,intermediate_demand
213,ORE,use,intermediate_demand
321,22,use,intermediate_demand
321,23,use,intermediate_demand
321,42,use,intermediate_demand
321,55,use,intermediate_demand
321,61,use,intermediate_demand
321,81,use,intermediate_demand
321,211,use,intermediate_demand
321,212,use,intermediate_demand
321,213,use,intermediate_demand
321,321,use,intermediate_demand
321,322,use,intermediate_demand
321,323,use,intermediate_demand
321,324,use,intermediate_demand
321,325,use,intermediate_demand
321,326,use,intermediate_demand
321,327,use,intermediate_demand
321,331,use,intermediate_demand
321,332,use,intermediate_demand
321,333,use,intermediate_demand
321,334,use,intermediate_demand
321,335,use,intermediate_demand
321,337,use,intermediate_demand
321,339,use,intermediate_demand
321,441,use,intermediate_demand
321,445,use,intermediate_demand
321,452,use,intermediate_demand
321,481,use,intermediate_demand
321,482,use,intermediate_demand
321,483,use,intermediate_demand
321,484,use,intermediate_demand
321,485,use,intermediate_demand
321,486,use,intermediate_demand
321,493,use,intermediate_demand
321,511,use,intermediate_demand
321,512,use,intermediate_demand
321,513,use,intermediate_demand
321,514,use,intermediate_demand
321,523,use,intermediate_demand
321,524,use,intermediate_demand
321,525,use,intermediate_demand
321,561,use,intermediate_demand
321,562,use,intermediate_demand
321,621,use,intermediate_demand
321,622,use,intermediate_demand
321,623,use,intermediate_demand
321,624,use,intermediate_demand
321,713,use,intermediate_demand
321,721,use,intermediate_demand
321,722,use,intermediate_demand
321,5411,use,intermediate_demand
321,5415,use,intermediate_demand
321,111CA,use,intermediate_demand
321,113FF,use,intermediate_demand
321,311FT,use,intermediate_demand
321,313TT,use,intermediate_demand
321,315AL,use,intermediate_demand
321,3361MV,use,intermediate_demand
321,3364OT,use,intermediate_demand
321,487OS,use,intermediate_demand
321,4A0,use,intermediate_demand
321,521CI,use,intermediate_demand
321,532RL,use,intermediate_demand
321,5412OP,use,intermediate_demand
321,711AS,use,intermediate_demand
321,GFE,use,intermediate_demand
321,GFGD,use,intermediate_demand
321,GFGN,use,intermediate_demand
321,GSLE,use,intermediate_demand
321,GSLG,use,intermediate_demand
321,HS,use,intermediate_demand
321,ORE,use,intermediate_demand
322,22,use,intermediate_demand
322,23,use,intermediate_demand
322,42,use,intermediate_demand
322,55,use,intermediate_demand
322,61,use,intermediate_demand
322,81,use,intermediate_demand
322,211,use,intermediate_demand
322,212,use,intermediate_demand
322,213,use,intermediate_demand
322,321,use,intermediate_demand
322,322,use,intermediate_demand
322,323,use,intermediate_demand
322,324,use,intermediate_demand
322,325,use,intermediate_demand
322,326,use,intermediate_demand
322,327,use,intermediate_demand
322,331,use,intermediate_demand
322,332,use,intermediate_demand
322,333,use,intermediate_demand
322,334,use,intermediate_demand
322,335,use,intermediate_demand
322,337,use,intermediate_demand
322,339,use,intermediate_demand
322,441,use,intermediate_demand
322,445,use,intermediate_demand
322,452,use,intermediate_demand
322,481,use,intermediate_demand
322,482,use,intermediate_demand
322,483,use,intermediate_demand
322,484,use,intermediate_demand
322,485,use,intermediate_demand
322,486,use,intermediate_demand
322,493,use,intermediate_demand
322,511,use,intermediate_demand
322,512,use,intermediate_demand
322,513,use,intermediate_demand
322,514,use,intermediate_demand
322,523,use,intermediate_demand
322,524,use,intermediate_demand
322,525,use,intermediate_demand
322,561,use,intermediate_demand
322,562,use,intermediate_demand
322,621,use,intermediate_demand
322,622,use,intermediate_demand
322,623,use,intermediate_demand
322,624,use,intermediate_demand
322,713,use,intermediate_demand
322,721,use,intermediate_demand
322,722,use,intermediate_demand
322,5411,use,intermediate_demand
322,5415,use,intermediate_demand
322,111CA,use,intermediate_demand
322,113FF,use,intermediate_demand
322,311FT,use,intermediate_demand
322,313TT,use,intermediate_demand
322,315AL,use,intermediate_demand
322,3361MV,use,intermediate_demand
322,3364OT,use,intermediate_demand
322,487OS,use,intermediate_demand
322,4A0,use,intermediate_demand
322,521CI,use,intermediate_demand
322,532RL,use,intermediate_demand
322,5412OP,use,intermediate_demand
322,711AS,use,intermediate_demand
322,GFE,use,intermediate_demand
322,GFGD,use,intermediate_demand
322,GFGN,use,intermediate_demand
322,GSLE,use,intermediate_demand
322,GSLG,use,intermediate_demand
322,HS,use,intermediate_demand
322,ORE,use,intermediate_demand
323,22,use,intermediate_demand
323,23,use,intermediate_demand
323,42,use,intermediate_demand
323,55,use,intermediate_demand
323,61,use,intermediate_demand
323,81,use,intermediate_demand
323,211,use,intermediate_demand
323,212,use,intermediate_demand
323,213,use,intermediate_demand
323,321,use,intermediate_demand
323,322,use,intermediate_demand
323,323,use,intermediate_demand
323,324,use,intermediate_demand
323,325,use,intermediate_demand
323,326,use,intermediate_demand
323,327,use,intermediate_demand
323,331,use,intermediate_demand
323,332,use,intermediate_demand
323,333,use,intermediate_demand
323,334,use,intermediate_demand
323,335,use,intermediate_demand
323,337,use,intermediate_demand
323,339,use,intermediate_demand
323,441,use,intermediate_demand
323,445,use,intermediate_demand
323,452,use,intermediate_demand
323,481,use,intermediate_demand
323,482,use,intermediate_demand
323,483,use,intermediate_demand
323,484,use,intermediate_demand
323,485,use,intermediate_demand
323,486,use,intermediate_demand
323,493,use,intermediate_demand
323,511,use,intermediate_demand
323,512,use,intermediate_demand
323,513,use,intermediate_demand
323,514,use,intermediate_demand
323,523,use,intermediate_demand
323,524,use,intermediate_demand
323,525,use,intermediate_demand
323,561,use,intermediate_demand
323,562,use,intermediate_demand
323,621,use,intermediate_demand
323,622,use,intermediate_demand
323,623,use,intermediate_demand
323,624,use,intermediate_demand
323,713,use,intermediate_demand
323,721,use,intermediate_demand
323,722,use,intermediate_demand
323,5411,use,intermediate_demand
323,5415,use,intermediate_demand
323,111CA,use,intermediate_demand
323,113FF,use,intermediate_demand
323,311FT,use,intermediate_demand
323,313TT,use,intermediate_demand
323,315AL,use,intermediate_demand
323,3361MV,use,intermediate_demand
323,3364OT,use,intermediate_demand
323,487OS,use,intermediate_demand
323,4A0,use,intermediate_demand
323,521CI,use,intermediate_demand
323,532RL,use,intermediate_demand
323,5412OP,use,intermediate_demand
323,711AS,use,intermediate_demand
323,GFE,use,intermediate_demand
323,GFGD,use,intermediate_demand
323,GFGN,use,intermediate_demand
323,GSLE,use,intermediate_demand
323,GSLG,use,intermediate_demand
323,HS,use,intermediate_demand
323,ORE,use,intermediate_demand
324,22,use,intermediate_demand
324,23,use,intermediate_demand
324,42,use,intermediate_demand
324,55,use,intermediate_demand
324,61,use,intermediate_demand
324,81,use,intermediate_demand
324,211,use,intermediate_demand
324,212,use,intermediate_demand
324,213,use,intermediate_demand
324,321,use,intermediate_demand
324,322,use,intermediate_demand
324,323,use,intermediate_demand
324,324,use,intermediate_demand
324,325,use,intermediate_demand
324,326,use,intermediate_demand
324,327,use,intermediate_demand
324,331,use,intermediate_demand
324,332,use,intermediate_demand
324,333,use,intermediate_demand
324,334,use,intermediate_demand
324,335,use,intermediate_demand
324,337,use,intermediate_demand
324,339,use,intermediate_demand
324,441,use,intermediate_demand
324,445,use,intermediate_demand
324,452,use,intermediate_demand
324,481,use,intermediate_demand
324,482,use,intermediate_demand
324,483,use,intermediate_demand
324,484,use,intermediate_demand
324,485,use,intermediate_demand
324,486,use,intermediate_demand
324,493,use,intermediate_demand
324,511,use,intermediate_demand
324,512,use,intermediate_demand
324,513,use,intermediate_demand
324,514,use,intermediate_demand
324,523,use,intermediate_demand
324,524,use,intermediate_demand
324,525,use,intermediate_demand
324,561,use,intermediate_demand
324,562,use,intermediate_demand
324,621,use,intermediate_demand
324,622,use,intermediate_demand
324,623,use,intermediate_demand
324,624,use,intermediate_demand
324,713,use,intermediate_demand
324,721,use,intermediate_demand
324,722,use,intermediate_demand
324,5411,use,intermediate_demand
324,5415,use,intermediate_demand
324,111CA,use,intermediate_demand
324,113FF,use,intermediate_demand
324,311FT,use,intermediate_demand
324,313TT,use,intermediate_demand
324,315AL,use,intermediate_demand
324,3361MV,use,intermediate_demand
324,3364OT,use,intermediate_demand
324,487OS,use,intermediate_demand
324,4A0,use,intermediate_demand
324,521CI,use,intermediate_demand
324,532RL,use,intermediate_demand
324,5412OP,use,intermediate_demand
324,711AS,use,intermediate_demand
324,GFE,use,intermediate_demand
324,GFGD,use,intermediate_demand
324,GFGN,use,intermediate_demand
324,GSLE,use,intermediate_demand
324,GSLG,use,intermediate_demand
324,HS,use,intermediate_demand
324,ORE,use,intermediate_demand
325,22,use,intermediate_demand
325,23,use,intermediate_demand
325,42,use,intermediate_demand
325,55,use,intermediate_demand
325,61,use,intermediate_demand
325,81,use,intermediate_demand
325,211,use,intermediate_demand
325,212,use,intermediate_demand
325,213,use,intermediate_demand
325,321,use,intermediate_demand
325,322,use,intermediate_demand
325,323,use,intermediate_demand
325,324,use,intermediate_demand
325,325,use,intermediate_demand
325,326,use,intermediate_demand
325,327,use,intermediate_demand
325,331,use,intermediate_demand
325,332,use,intermediate_demand
325,333,use,intermediate_demand
325,334,use,intermediate_demand
325,335,use,intermediate_demand
325,337,use,intermediate_demand
325,339,use,intermediate_demand
325,441,use,intermediate_demand
325,445,use,intermediate_demand
325,452,use,intermediate_demand
325,481,use,intermediate_demand
325,482,use,intermediate_demand
325,483,use,intermediate_demand
325,484,use,intermediate_demand
325,485,use,intermediate_demand
325,486,use,intermediate_demand
325,493,use,intermediate_demand
325,511,use,intermediate_demand
325,512,use,intermediate_demand
325,513,use,intermediate_demand
325,514,use,intermediate_demand
325,523,use,intermediate_demand
325,524,use,intermediate_demand
325,525,use,intermediate_demand
325,561,use,intermediate_demand
325,562,use,intermediate_demand
325,621,use,intermediate_demand
325,622,use,intermediate_demand
325,623,use,intermediate_demand
325,624,use,intermediate_demand
325,713,use,intermediate_demand
325,721,use,intermediate_demand
325,722,use,intermediate_demand
325,5411,use,intermediate_demand
325,5415,use,intermediate_demand
325,111CA,use,intermediate_demand
325,113FF,use,intermediate_demand
325,311FT,use,intermediate_demand
325,313TT,use,intermediate_demand
325,315AL,use,intermediate_demand
325,3361MV,use,intermediate_demand
325,3364OT,use,intermediate_demand
325,487OS,use,intermediate_demand
325,4A0,use,intermediate_demand
325,521CI,use,intermediate_demand
325,532RL,use,intermediate_demand
325,5412OP,use,intermediate_demand
325,711AS,use,intermediate_demand
325,GFE,use,intermediate_demand
325,GFGD,use,intermediate_demand
325,GFGN,use,intermediate_demand
325,GSLE,use,intermediate_demand
325,GSLG,use,intermediate_demand
325,HS,use,intermediate_demand
325,ORE,use,intermediate_demand
326,22,use,intermediate_demand
326,23,use,intermediate_demand
326,42,use,intermediate_demand
326,55,use,intermediate_demand
326,61,use,intermediate_demand
326,81,use,intermediate_demand
326,211,use,intermediate_demand
326,212,use,intermediate_demand
326,213,use,intermediate_demand
326,321,use,intermediate_demand
326,322,use,intermediate_demand
326,323,use,intermediate_demand
326,324,use,intermediate_demand
326,325,use,intermediate_demand
326,326,use,intermediate_demand
