commodities,sectors,table,subtable
22,F10N,use,exogenous_final_demand
22,F10S,use,exogenous_final_demand
23,F02E,use,exogenous_final_demand
23,F02N,use,exogenous_final_demand
23,F02R,use,exogenous_final_demand
23,F02S,use,exogenous_final_demand
23,F030,use,exogenous_final_demand
23,F06C,use,exogenous_final_demand
23,F06E,use,exogenous_final_demand
23,F06N,use,exogenous_final_demand
23,F06S,use,exogenous_final_demand
23,F07C,use,exogenous_final_demand
23,F07E,use,exogenous_final_demand
23,F07N,use,exogenous_final_demand
23,F07S,use,exogenous_final_demand
23,F10C,use,exogenous_final_demand
23,F10E,use,exogenous_final_demand
23,F10N,use,exogenous_final_demand
23,F10S,use,exogenous_final_demand
42,F02E,use,exogenous_final_demand
42,F02N,use,exogenous_final_demand
42,F02R,use,exogenous_final_demand
42,F02S,use,exogenous_final_demand
42,F030,use,exogenous_final_demand
42,F06C,use,exogenous_final_demand
42,F06E,use,exogenous_final_demand
42,F06N,use,exogenous_final_demand
42,F06S,use,exogenous_final_demand
42,F07C,use,exogenous_final_demand
42,F07E,use,exogenous_final_demand
42,F07N,use,exogenous_final_demand
42,F07S,use,exogenous_final_demand
42,F10C,use,exogenous_final_demand
42,F10E,use,exogenous_final_demand
42,F10N,use,exogenous_final_demand
42,F10S,use,exogenous_final_demand
55,F02E,use,exogenous_final_demand
55,F02N,use,exogenous_final_demand
55,F02R,use,exogenous_final_demand
55,F02S,use,exogenous_final_demand
55,F030,use,exogenous_final_demand
55,F06C,use,exogenous_final_demand
55,F06E,use,exogenous_final_demand
55,F06N,use,exogenous_final_demand
55,F06S,use,exogenous_final_demand
55,F07C,use,exogenous_final_demand
55,F07E,use,exogenous_final_demand
55,F07N,use,exogenous_final_demand
55,F07S,use,exogenous_final_demand
55,F10C,use,exogenous_final_demand
55,F10E,use,exogenous_final_demand
55,F10N,use,exogenous_final_demand
55,F10S,use,exogenous_final_demand
61,F02E,use,exogenous_final_demand
61,F02N,use,exogenous_final_demand
61,F02R,use,exogenous_final_demand
61,F02S,use,exogenous_final_demand
61,F030,use,exogenous_final_demand
61,F06C,use,exogenous_final_demand
61,F06E,use,exogenous_final_demand
61,F06N,use,exogenous_final_demand
61,F06S,use,exogenous_final_demand
61,F07C,use,exogenous_final_demand
61,F07E,use,exogenous_final_demand
61,F07N,use,exogenous_final_demand
61,F07S,use,exogenous_final_demand
61,F10C,use,exogenous_final_demand
61,F10E,use,exogenous_final_demand
61,F10N,use,exogenous_final_demand
61,F10S,use,exogenous_final_demand
81,F02E,use,exogenous_final_demand
81,F02N,use,exogenous_final_demand
81,F02R,use,exogenous_final_demand
81,F02S,use,exogenous_final_demand
81,F030,use,exogenous_final_demand
81,F06C,use,exogenous_final_demand
81,F06E,use,exogenous_final_demand
81,F06N,use,exogenous_final_demand
81,F06S,use,exogenous_final_demand
81,F07C,use,exogenous_final_demand
81,F07E,use,exogenous_final_demand
81,F07N,use,exogenous_final_demand
81,F07S,use,exogenous_final_demand
81,F10C,use,exogenous_final_demand
81,F10E,use,exogenous_final_demand
81,F10N,use,exogenous_final_demand
81,F10S,use,exogenous_final_demand
211,F02E,use,exogenous_final_demand
211,F02N,use,exogenous_final_demand
211,F02R,use,exogenous_final_demand
211,F02S,use,exogenous_final_demand
211,F030,use,exogenous_final_demand
211,F06C,use,exogenous_final_demand
211,F06E,use,exogenous_final_demand
211,F06N,use,exogenous_final_demand
211,F06S,use,exogenous_final_demand
211,F07C,use,exogenous_final_demand
211,F07E,use,exogenous_final_demand
211,F07N,use,exogenous_final_demand
211,F07S,use,exogenous_final_demand
211,F10C,use,exogenous_final_demand
211,F10E,use,exogenous_final_demand
211,F10N,use,exogenous_final_demand
211,F10S,use,exogenous_final_demand
212,F02E,use,exogenous_final_demand
212,F02N,use,exogenous_final_demand
212,F02R,use,exogenous_final_demand
212,F02S,use,exogenous_final_demand
212,F030,use,exogenous_final_demand
212,F06C,use,exogenous_final_demand
212,F06E,use,exogenous_final_demand
212,F06N,use,exogenous_final_demand
212,F06S,use,exogenous_final_demand
212,F07C,use,exogenous_final_demand
212,F07E,use,exogenous_final_demand
212,F07N,use,exogenous_final_demand
212,F07S,use,exogenous_final_demand
212,F10C,use,exogenous_final_demand
212,F10E,use,exogenous_final_demand
212,F10N,use,exogenous_final_demand
212,F10S,use,exogenous_final_demand
213,F02E,use,exogenous_final_demand
213,F02N,use,exogenous_final_demand
213,F02R,use,exogenous_final_demand
213,F02S,use,exogenous_final_demand
213,F030,use,exogenous_final_demand
213,F06C,use,exogenous_final_demand
213,F06E,use,exogenous_final_demand
213,F06N,use,exogenous_final_demand
213,F06S,use,exogenous_final_demand
213,F07C,use,exogenous_final_demand
213,F07E,use,exogenous_final_demand
213,F07N,use,exogenous_final_demand
213,F07S,use,exogenous_final_demand
213,F10C,use,exogenous_final_demand
213,F10E,use,exogenous_final_demand
213,F10N,use,exogenous_final_demand
213,F10S,use,exogenous_final_demand
321,F02E,use,exogenous_final_demand
321,F02N,use,exogenous_final_demand
321,F02R,use,exogenous_final_demand
321,F02S,use,exogenous_final_demand
321,F030,use,exogenous_final_demand
321,F06C,use,exogenous_final_demand
321,F06E,use,exogenous_final_demand
321,F06N,use,exogenous_final_demand
321,F06S,use,exogenous_final_demand
321,F07C,use,exogenous_final_demand
321,F07E,use,exogenous_final_demand
321,F07N,use,exogenous_final_demand
321,F07S,use,exogenous_final_demand
321,F10C,use,exogenous_final_demand
321,F10E,use,exogenous_final_demand
321,F10N,use,exogenous_final_demand
321,F10S,use,exogenous_final_demand
322,F02E,use,exogenous_final_demand
322,F02N,use,exogenous_final_demand
322,F02R,use,exogenous_final_demand
322,F02S,use,exogenous_final_demand
