var_name,value,margin
"Y[(:ore,)]",1.004338730406467,-0.0
"Y[(:edu,)]",0.961325645044755,-0.0
"Y[(:ote,)]",1.002832591585971,-0.0
"Y[(:man,)]",1.015755777552064,-0.0
"Y[(:mch,)]",1.005846226742565,-0.0
"Y[(:dat,)]",0.997049474101554,-0.0
"Y[(:amd,)]",1.057317168077269,-0.0
"Y[(:oil,)]",1.076018688767565,-0.0
"Y[(:hos,)]",0.969741669671672,-0.0
"Y[(:rnt,)]",1.020062535222803,-0.0
"Y[(:pla,)]",1.00803873843321,-0.0
"Y[(:fof,)]",1.012001377067834,-0.0
"Y[(:fin,)]",0.973024385636024,-0.0
"Y[(:tsv,)]",1.001527155390273,-0.0
"Y[(:nrs,)]",0.986394350447843,-0.0
"Y[(:sec,)]",0.981791761682572,-0.0
"Y[(:art,)]",1.006459861346518,-0.0
"Y[(:mov,)]",1.006969754524676,-0.0
"Y[(:fpd,)]",1.019332175204006,-0.0
"Y[(:slg,)]",0.999999999967618,-0.0
"Y[(:pri,)]",1.003768585022149,-0.0
"Y[(:grd,)]",0.991541363990359,-0.0
"Y[(:pip,)]",1.027960928694457,-0.0
"Y[(:sle,)]",0.996458648032542,-0.0
"Y[(:osv,)]",0.99268578184754,-0.0
"Y[(:trn,)]",1.021872587909308,-0.0
"Y[(:smn,)]",0.970421478058615,0.0
"Y[(:fmt,)]",1.001833381001335,-0.0
"Y[(:pet,)]",1.0846352323837,-0.0
"Y[(:mvt,)]",1.023101099635762,-0.0
"Y[(:cep,)]",0.98526860164462,-0.0
"Y[(:wst,)]",1.002947643749292,-0.0
"Y[(:mot,)]",1.024040527327582,-0.0
"Y[(:adm,)]",1.002404413038131,-0.0
"Y[(:soc,)]",0.977519907692327,-0.0
"Y[(:alt,)]",0.849330038432708,-0.0
"Y[(:pmt,)]",1.018550914781305,-0.0
"Y[(:trk,)]",1.026474879548015,-0.0
"Y[(:fdd,)]",0.99999999637386,-0.0
"Y[(:gmt,)]",1.023110418194534,-0.0
"Y[(:wtt,)]",1.01552992690402,-0.0
"Y[(:wpd,)]",1.006517660985746,-0.0
"Y[(:wht,)]",1.023030980255997,-0.0
"Y[(:wrh,)]",1.019430373696067,-0.0
"Y[(:ott,)]",1.02349455111482,-0.0
"Y[(:che,)]",1.005445257567059,-0.0
"Y[(:air,)]",1.085343566632132,-0.0
"Y[(:mmf,)]",0.996973183472037,-0.0
"Y[(:otr,)]",1.022454848107986,-0.0
"Y[(:min,)]",1.016807514671468,-0.0
"A[(:ppd,)]",1.015986864418637,.
"A[(:res,)]",1.036710310457993,.
"A[(:com,)]",1.000949888080385,.
"A[(:amb,)]",0.970346029038194,.
"A[(:fbp,)]",1.041864608715031,.
"A[(:rec,)]",1.025380559852182,.
"A[(:con,)]",0.998504509932658,.
"A[(:agr,)]",1.023595771805665,.
"A[(:eec,)]",1.007211096759874,.
"A[(:fnd,)]",0.999999999833633,.
"A[(:pub,)]",0.995390647922382,.
"A[(:hou,)]",0.947340237203967,.
"A[(:fbt,)]",1.0,.
"A[(:ins,)]",0.99501230530478,.
"A[(:tex,)]",1.024555681082773,.
"A[(:leg,)]",1.005391603486383,.
"A[(:fen,)]",1.004195696068159,.
"A[(:uti,)]",1.02048042204889,.
"A[(:nmp,)]",1.005721613436267,.
"A[(:brd,)]",1.023139724179109,.
"A[(:bnk,)]",0.982247691907666,.
"A[(:ore,)]",1.004250547312671,.
"A[(:edu,)]",0.971904252412334,.
"A[(:ote,)]",1.003255415408449,.
"A[(:man,)]",1.015755777572406,.
"A[(:mch,)]",1.00647437000247,.
"A[(:dat,)]",0.997095136771062,.
"A[(:amd,)]",1.042279427102462,.
"A[(:oil,)]",1.07357624762449,.
"A[(:hos,)]",0.975843406185256,.
"A[(:rnt,)]",1.012986503631159,.
"A[(:pla,)]",1.013157568807416,.
"A[(:fof,)]",1.015079342177453,.
"A[(:fin,)]",0.977232118061547,.
"A[(:tsv,)]",1.001976708530105,.
"A[(:nrs,)]",0.986301950941434,.
"A[(:sec,)]",0.981846948860344,.
"A[(:art,)]",1.006448436858378,.
"A[(:mov,)]",1.00730734779626,.
"A[(:fpd,)]",1.010830243848984,.
"A[(:slg,)]",0.999999999785201,.
"A[(:pri,)]",1.002642225729324,.
"A[(:grd,)]",0.992577811602296,.
"A[(:pip,)]",1.062226116951458,.
"A[(:sle,)]",0.996996466283253,.
"A[(:osv,)]",0.999043118724843,.
"A[(:trn,)]",0.986965549110831,.
"A[(:smn,)]",1.00731963399504,.
"A[(:fmt,)]",1.008942140151466,.
"A[(:pet,)]",1.078775354475087,.
"A[(:mvt,)]",1.0,.
"A[(:cep,)]",0.99866030449403,.
"A[(:wst,)]",1.002981174953825,.
"A[(:mot,)]",1.015959268360304,.
"A[(:adm,)]",1.00241194471054,.
"A[(:soc,)]",0.978118115084274,.
"A[(:alt,)]",1.077607254721562,.
"A[(:pmt,)]",1.01403892070177,.
"A[(:trk,)]",1.018106799232455,.
"A[(:fdd,)]",0.999999999497649,.
"A[(:gmt,)]",1.0,.
"A[(:wtt,)]",1.006937678706184,.
"A[(:wpd,)]",1.006346501981156,.
"A[(:wht,)]",1.019801263725884,.
"A[(:wrh,)]",1.019699581081314,.
"A[(:ott,)]",0.984339732101239,.
"A[(:che,)]",1.006905816886103,.
"A[(:air,)]",1.077979213173296,.
"A[(:mmf,)]",1.007115613817034,.
"A[(:otr,)]",1.021080302158665,.
"A[(:min,)]",1.016301554297177,.
"MS[(:trn,)]",1.027484209639646,-0.0
"MS[(:trd,)]",1.022785219028915,0.0
Y→VAppd,1.018795396869848,-0.0
Y→VAres,1.039164510264506,0.0
Y→VAcom,0.999213508080462,0.0
Y→VAamb,0.969241607869689,0.0
Y→VAfbp,1.044019876698184,-0.0
Y→VArec,1.025576660958294,-0.0
Y→VAcon,0.998727847327175,0.0
Y→VAagr,1.026509377792122,-0.0
Y→VAeec,0.993423063943617,-0.0
Y→VAfnd,1.000000000000628,-0.0
Y→VApub,0.995058222670932,-0.0
Y→VAhou,0.946697275420606,0.0
Y→VAfbt,1.023331942878986,-0.0
Y→VAins,0.995264352449743,0.0
Y→VAtex,0.987755016574426,-0.0
Y→VAleg,1.005284275529934,-0.0
Y→VAfen,1.004207119177858,-0.0
Y→VAuti,1.028145695036806,-0.0
Y→VAnmp,0.997668766190175,-0.0
Y→VAbrd,1.023147625760468,-0.0
Y→VAbnk,0.98197655641098,-0.0
Y→VAore,1.004338443353163,-0.0
Y→VAedu,0.961325643673571,-0.0
Y→VAote,1.002793493222267,-0.0
Y→VAman,1.015755777573903,-0.0
Y→VAmch,1.005834419684867,-0.0
Y→VAdat,0.997027706086304,-0.0
Y→VAamd,1.057317168107136,-0.0
Y→VAoil,1.07601899597364,-0.0
Y→VAhos,0.969741670320376,-0.0
Y→VArnt,1.020062098329664,-0.0
Y→VApla,1.008034117870608,-0.0
Y→VAfof,1.012001621011872,-0.0
Y→VAfin,0.973024377650498,-0.0
Y→VAtsv,1.001527155414754,-0.0
Y→VAnrs,0.986391507433201,-0.0
Y→VAsec,0.98179106195237,-0.0
Y→VAart,1.006471617367044,-0.0
Y→VAmov,1.007015790286063,-0.0
Y→VAfpd,1.019334645541403,-0.0
Y→VAslg,1.000000000001444,-0.0
Y→VApri,1.003768585139784,-0.0
Y→VAgrd,0.991541344727938,-0.0
Y→VApip,1.027943359151402,-0.0
Y→VAsle,0.996458644276456,-0.0
Y→VAosv,0.992685781855861,-0.0
Y→VAtrn,1.02187138885976,-0.0
Y→VAsmn,0.97047218181362,-0.0
Y→VAfmt,1.001835190814902,-0.0
Y→VApet,1.084633821614959,-0.0
Y→VAmvt,1.023099008740344,-0.0
Y→VAcep,0.985266988155397,-0.0
Y→VAwst,1.002919558772363,-0.0
Y→VAmot,1.024040480481214,-0.0
Y→VAadm,1.00240441385705,-0.0
Y→VAsoc,0.977517937549382,-0.0
Y→VAalt,0.849290795233727,0.0
Y→VApmt,1.018586730316344,-0.0
Y→VAtrk,1.026474705561615,-0.0
Y→VAfdd,1.000000000000904,-0.0
Y→VAgmt,1.023110418286862,-0.0
