domain,value,var,,,,
che,1.005445255,Y,"Y[(:che,)]",1.005445255,"Y[(:che,)]",1.0054453
air,1.085347912,Y,"Y[(:air,)]",1.085347912,"Y[(:air,)]",1.08535832
mmf,0.996969585,Y,"Y[(:mmf,)]",0.996969585,"Y[(:mmf,)]",0.9969695
otr,1.022454849,Y,"Y[(:otr,)]",1.022454849,"Y[(:otr,)]",1.02245485
min,1.016804201,Y,"Y[(:min,)]",1.016804201,"Y[(:min,)]",1.01680501
ppd,1.015986863,A,"A[(:ppd,)]",1.015986863,"A[(:ppd,)]",1.01598686
res,1.036710309,A,"A[(:res,)]",1.036710309,"A[(:res,)]",1.03671031
com,1.000949887,A,"A[(:com,)]",1.000949887,"A[(:com,)]",1.00094989
amb,0.970346024,A,"A[(:amb,)]",0.970346024,"A[(:amb,)]",0.97034603
fbp,1.041864608,A,"A[(:fbp,)]",1.041864608,"A[(:fbp,)]",1.04186461
rec,1.02538056,A,"A[(:rec,)]",1.02538056,"A[(:rec,)]",1.02538056
con,0.99850451,A,"A[(:con,)]",0.99850451,"A[(:con,)]",0.99850451
agr,1.023595771,A,"A[(:agr,)]",1.023595771,"A[(:agr,)]",1.02359577
eec,1.007211097,A,"A[(:eec,)]",1.007211097,"A[(:eec,)]",1.0072111
fnd,1,A,"A[(:fnd,)]",1,"A[(:fnd,)]",1
pub,0.995390649,A,"A[(:pub,)]",0.995390649,"A[(:pub,)]",0.99539065
hou,0.94734024,A,"A[(:hou,)]",0.94734024,"A[(:hou,)]",0.94734024
fbt,1,A,"A[(:fbt,)]",1,"A[(:fbt,)]",0
ins,0.995012305,A,"A[(:ins,)]",0.995012305,"A[(:ins,)]",0.99501231
tex,1.02455568,A,"A[(:tex,)]",1.02455568,"A[(:tex,)]",1.02455568
leg,1.005391603,A,"A[(:leg,)]",1.005391603,"A[(:leg,)]",1.0053916
fen,1.004195696,A,"A[(:fen,)]",1.004195696,"A[(:fen,)]",1.0041957
uti,1.020480421,A,"A[(:uti,)]",1.020480421,"A[(:uti,)]",1.02048042
nmp,1.005721616,A,"A[(:nmp,)]",1.005721616,"A[(:nmp,)]",1.00572161
brd,1.023139724,A,"A[(:brd,)]",1.023139724,"A[(:brd,)]",1.02313972
bnk,0.982247692,A,"A[(:bnk,)]",0.982247692,"A[(:bnk,)]",0.98224769
ore,1.004250547,A,"A[(:ore,)]",1.004250547,"A[(:ore,)]",1.00425055
edu,0.971904252,A,"A[(:edu,)]",0.971904252,"A[(:edu,)]",0.97190425
ote,1.003255417,A,"A[(:ote,)]",1.003255417,"A[(:ote,)]",1.00325542
man,1.015755778,A,"A[(:man,)]",1.015755778,"A[(:man,)]",1.01575578
mch,1.00647437,A,"A[(:mch,)]",1.00647437,"A[(:mch,)]",1.00647437
dat,0.997095137,A,"A[(:dat,)]",0.997095137,"A[(:dat,)]",0.99709514
amd,1.042279427,A,"A[(:amd,)]",1.042279427,"A[(:amd,)]",1.04227943
oil,1.073576247,A,"A[(:oil,)]",1.073576247,"A[(:oil,)]",1.07357625
hos,0.975843412,A,"A[(:hos,)]",0.975843412,"A[(:hos,)]",0.97584341
rnt,1.012986505,A,"A[(:rnt,)]",1.012986505,"A[(:rnt,)]",1.0129865
pla,1.013157571,A,"A[(:pla,)]",1.013157571,"A[(:pla,)]",1.01315757
fof,1.015079342,A,"A[(:fof,)]",1.015079342,"A[(:fof,)]",1.01507934
fin,0.977232121,A,"A[(:fin,)]",0.977232121,"A[(:fin,)]",0.97723212
tsv,1.001976709,A,"A[(:tsv,)]",1.001976709,"A[(:tsv,)]",1.00197671
