yr,i,j,value,
2003,con,ppd,0.6732584201900490,
2011,con,ppd,0.6765046505611500,
2001,con,ppd,0.8344699897397250,
2008,agr,ppd,#N/A,
2009,agr,ppd,#N/A,
2005,agr,ppd,#N/A,
2006,agr,ppd,#N/A,
2012,agr,ppd,#N/A,
2014,agr,ppd,#N/A,
2013,agr,ppd,#N/A,
1999,agr,ppd,#N/A,
2002,agr,ppd,#N/A,
2017,agr,ppd,#N/A,
2016,agr,ppd,#N/A,
2015,agr,ppd,#N/A,
1998,agr,ppd,#N/A,
2004,agr,ppd,#N/A,
2000,agr,ppd,#N/A,
1997,agr,ppd,#N/A,
2007,agr,ppd,#N/A,
2010,agr,ppd,#N/A,
2003,agr,ppd,#N/A,
2011,agr,ppd,#N/A,
2001,agr,ppd,#N/A,
2008,eec,ppd,0.4242640744995330,
2009,eec,ppd,0.3537491740248520,
2005,eec,ppd,0.3395300875332750,
2006,eec,ppd,0.3624148393021420,
2012,eec,ppd,0.5427615890070330,
2014,eec,ppd,0.5753292414603580,
2013,eec,ppd,0.5639472578769080,
1999,eec,ppd,0.3747386497276850,
2002,eec,ppd,0.3336081798248610,
2017,eec,ppd,0.5944555598456290,
2016,eec,ppd,0.6471414083228330,
2015,eec,ppd,0.6262249465121410,
1998,eec,ppd,0.3610480821162030,
2004,eec,ppd,0.3681509762513010,
2000,eec,ppd,0.3670959389153760,
1997,eec,ppd,0.3563274946009710,
2007,eec,ppd,0.3654629076974290,
2010,eec,ppd,0.4074740018124630,
2003,eec,ppd,0.3464665399891900,
2011,eec,ppd,0.4585011841103850,
2001,eec,ppd,0.3567570395213250,
2008,fnd,ppd,#N/A,
2009,fnd,ppd,#N/A,
2005,fnd,ppd,#N/A,
2006,fnd,ppd,#N/A,
2012,fnd,ppd,#N/A,
2014,fnd,ppd,#N/A,
2013,fnd,ppd,#N/A,
1999,fnd,ppd,#N/A,
2002,fnd,ppd,#N/A,
2017,fnd,ppd,#N/A,
2016,fnd,ppd,#N/A,
2015,fnd,ppd,#N/A,
1998,fnd,ppd,#N/A,
2004,fnd,ppd,#N/A,
2000,fnd,ppd,#N/A,
1997,fnd,ppd,#N/A,
2007,fnd,ppd,#N/A,
2010,fnd,ppd,#N/A,
2003,fnd,ppd,#N/A,
2011,fnd,ppd,#N/A,
2001,fnd,ppd,#N/A,
2008,pub,ppd,0.0030469031123228,
2009,pub,ppd,0.0020238428508148,
2005,pub,ppd,0.0040593937112130,
2006,pub,ppd,0.0030417799357621,
2012,pub,ppd,0.0040537746797301,
2014,pub,ppd,0.0030506945612509,
2013,pub,ppd,0.0040595743051264,
1999,pub,ppd,0.0020537112839701,
2002,pub,ppd,0.0081460218953441,
2017,pub,ppd,0.0051222288660805,
2016,pub,ppd,0.0040663896693908,
2015,pub,ppd,0.0030381746142962,
1998,pub,ppd,0.0010257111179292,
2004,pub,ppd,0.0040836268563365,
2000,pub,ppd,0.0041042635163911,
1997,pub,ppd,#N/A,
2007,pub,ppd,0.0030428143641536,
2010,pub,ppd,0.0020188319045459,
2003,pub,ppd,0.0061247265986997,
2011,pub,ppd,0.0030390886447475,
2001,pub,ppd,0.0061425541587329,
2008,hou,ppd,#N/A,
2009,hou,ppd,#N/A,
2005,hou,ppd,#N/A,
2006,hou,ppd,#N/A,
2012,hou,ppd,#N/A,
2014,hou,ppd,#N/A,
2013,hou,ppd,#N/A,
1999,hou,ppd,#N/A,
2002,hou,ppd,#N/A,
2017,hou,ppd,#N/A,
2016,hou,ppd,#N/A,
2015,hou,ppd,#N/A,
1998,hou,ppd,#N/A,
2004,hou,ppd,#N/A,
2000,hou,ppd,#N/A,
1997,hou,ppd,#N/A,
2007,hou,ppd,#N/A,
2010,hou,ppd,#N/A,
2003,hou,ppd,#N/A,
