yr,i,value,,
2002,smn,33.93488525,,
2017,smn,122.1205268,,
2016,smn,83.99483478,,
2015,smn,152.3532558,,
1998,smn,25.37748517,,
2004,smn,52.90263537,,
2000,smn,27.03497805,,
1997,smn,25.478978,,
2007,smn,114.8122643,,
2010,smn,106.6123523,,
2003,smn,43.15977427,,
2011,smn,142.2435304,,
2001,smn,38.84694042,,
2008,fmt,456.0664974,,
2009,fmt,357.4111982,,
2005,fmt,371.3629334,,
2006,fmt,408.807872,,
2012,fmt,451.0749635,,
2014,fmt,476.8641949,,
2013,fmt,458.8273821,,
1999,fmt,300.169066,,
2002,fmt,303.9814707,,
2017,fmt,500.6517859,,
2016,fmt,463.3313589,,
2015,fmt,474.5061818,,
1998,fmt,291.2620536,,
2004,fmt,333.9481659,,
2000,fmt,314.9349283,,
1997,fmt,281.0416382,,
2007,fmt,439.690601,,
2010,fmt,385.506365,,
2003,fmt,307.0757574,,
2011,fmt,430.4043801,,
2001,fmt,301.5545978,,
2008,pet,1006.280752,,
2009,pet,694.0023058,,
2005,pet,735.6495563,,
2006,pet,817.3108734,,
2012,pet,1043.473033,,
2014,pet,997.7412284,,
2013,pet,1066.651597,,
1999,pet,326.0843804,,
2002,pet,388.9729807,,
2017,pet,751.7396267,,
2016,pet,645.2202748,,
2015,pet,730.3182163,,
1998,pet,288.9058088,,
2004,pet,557.8310074,,
2000,pet,436.1062469,,
1997,pet,333.4518956,,
2007,pet,880.5747208,,
2010,pet,833.1353668,,
2003,pet,448.5135884,,
2011,pet,1051.893124,,
2001,pet,411.804168,,
2008,mvt,#N/A,,
2009,mvt,#N/A,,
2005,mvt,#N/A,,
2006,mvt,#N/A,,
2012,mvt,#N/A,,
2014,mvt,#N/A,,
2013,mvt,#N/A,,
1999,mvt,#N/A,,
2002,mvt,#N/A,,
2017,mvt,#N/A,,
2016,mvt,#N/A,,
2015,mvt,#N/A,,
1998,mvt,#N/A,,
2004,mvt,#N/A,,
2000,mvt,#N/A,,
1997,mvt,#N/A,,
2007,mvt,#N/A,,
2010,mvt,#N/A,,
2003,mvt,#N/A,,
2011,mvt,#N/A,,
2001,mvt,#N/A,,
2008,cep,672.4407646,,
2009,cep,587.7400435,,
2005,cep,639.9714961,,
2006,cep,676.13695,,
2012,cep,698.4900069,,
2014,cep,717.1227558,,
2013,cep,700.8003686,,
1999,cep,610.9742485,,
2002,cep,551.9767425,,
2017,cep,774.320088,,
2016,cep,724.7419464,,
2015,cep,739.3607044,,
1998,cep,568.0211696,,
2004,cep,601.7523112,,
2000,cep,695.3365739,,
1997,cep,542.8247319,,
2007,cep,703.0443291,,
2010,cep,655.0589274,,
2003,cep,557.1608142,,
2011,cep,680.9046175,,
2001,cep,596.6164024,,
2008,wst,91.66553034,,
2009,wst,87.13269484,,
2005,wst,77.02706408,,
2006,wst,84.46450414,,
2012,wst,96.82890041,,
2014,wst,103.9145493,,
2013,wst,98.88170692,,
1999,wst,57.16255412,,
2002,wst,61.95152227,,
2017,wst,115.4931241,,
2016,wst,109.5063659,,
2015,wst,104.3503032,,
1998,wst,52.47065736,,
2004,wst,71.62642189,,
2000,wst,60.05240504,,
1997,wst,47.55101626,,
2007,wst,88.14436777,,
2010,wst,94.99551344,,
2003,wst,66.27667481,,
2011,wst,96.30371072,,
2001,wst,61.40313592,,
2008,mot,665.1759642,,
2009,mot,505.1910427,,
2005,mot,789.7424901,,
2006,mot,810.5212158,,
2012,mot,843.4154357,,
2014,mot,1009.422255,,
2013,mot,913.1806634,,
1999,mot,717.432715,,
2002,mot,721.6928513,,
2017,mot,1155.242245,,
2016,mot,1130.774862,,
2015,mot,1099.030912,,
1998,mot,617.762549,,
2004,mot,774.0571424,,
2000,mot,712.2763587,,
1997,mot,591.0971927,,
2007,mot,788.8357873,,
2010,mot,666.8942968,,
2003,mot,735.778033,,
2011,mot,748.0947808,,
2001,mot,667.020525,,
2008,adm,596.7266551,,
2009,adm,555.0384033,,
2005,adm,512.2030728,,
2006,adm,547.772071,,
2012,adm,656.2327714,,
2014,adm,750.5344303,,
2013,adm,682.9706579,,
1999,adm,384.5504921,,
2002,adm,414.3230214,,
2017,adm,909.3771705,,
2016,adm,851.2191365,,
2015,adm,799.4249105,,
1998,adm,352.3949385,,
2004,adm,469.1406716,,
2000,adm,421.4179654,,
1997,adm,309.4170915,,
2007,adm,585.5558921,,
2010,adm,585.7483256,,
2003,adm,434.6582571,,
2011,adm,623.1250311,,
2001,adm,417.457494,,
2008,soc,146.6313292,,
2009,soc,155.061648,,
2005,soc,118.1779165,,
2006,soc,125.6423261,,
2012,soc,171.2449726,,
2014,soc,181.3731023,,
2013,soc,173.9283999,,
1999,soc,74.78776701,,
2002,soc,101.8159213,,
2017,soc,211.7225456,,
2016,soc,198.3637932,,
2015,soc,188.4524329,,
1998,soc,67.25867779,,
2004,soc,111.527268,,
2000,soc,84.22633193,,
1997,soc,62.5135314,,
2007,soc,135.0629944,,
2010,soc,164.7652966,,
2003,soc,107.816375,,
2011,soc,167.0168063,,
2001,soc,94.81129713,,
2008,alt,347.5873474,,
2009,alt,324.6978008,,
2005,alt,338.7308077,,
2006,alt,350.2608171,,
2012,alt,379.4572782,,
2014,alt,410.8516562,,
2013,alt,395.6855731,,
1999,alt,298.8651596,,
2002,alt,300.9249388,,
2017,alt,426.008024,,
2016,alt,422.9414055,,
2015,alt,426.1209652,,
1998,alt,288.3699881,,
2004,alt,321.8986426,,
2000,alt,316.7470004,,
1997,alt,282.3955365,,
2007,alt,355.970471,,
2010,alt,350.7711595,,
2003,alt,307.0953585,,
2011,alt,369.1243265,,
2001,alt,306.8031055,,
2008,pmt,372.8731067,,
2009,pmt,205.9620868,,
2005,pmt,279.7448615,,
2006,pmt,332.3653741,,
2012,pmt,352.9023687,,
2014,pmt,355.6115854,,
2013,pmt,348.8497843,,
1999,pmt,219.0696204,,
2002,pmt,182.7312084,,
2017,pmt,310.6424952,,
2016,pmt,273.7633498,,
2015,pmt,308.8386251,,
1998,pmt,236.4549396,,
2004,pmt,251.8996842,,
2000,pmt,229.3719196,,
1997,pmt,226.8252777,,
2007,pmt,350.3468829,,
2010,pmt,287.1715412,,
2003,pmt,178.6426783,,
2011,pmt,356.5359595,,
2001,pmt,187.4652748,,
2008,trk,36.24243129,,
2009,trk,28.62961183,,
2005,trk,40.96576525,,
2006,trk,40.40237548,,
2012,trk,29.6301808,,
2014,trk,33.29947104,,
2013,trk,30.75197005,,
1999,trk,35.22259967,,
2002,trk,39.53381323,,
2017,trk,35.59716518,,
2016,trk,33.589707,,
2015,trk,33.75163695,,
1998,trk,32.63846382,,
2004,trk,39.71386391,,
2000,trk,38.53067599,,
1997,trk,30.07691306,,
2007,trk,37.75341405,,
2010,trk,28.9561539,,
2003,trk,38.42668982,,
2011,trk,29.74223551,,
2001,trk,38.9532811,,
2008,fdd,580.2440567,,
2009,fdd,610.6605376,,
2005,fdd,474.8990927,,
2006,fdd,498.1904907,,
2012,fdd,647.6700084,,
2014,fdd,596.4653526,,
2013,fdd,608.863442,,
1999,fdd,300.1112898,,
2002,fdd,356.1073045,,
2017,fdd,597.9266084,,
2016,fdd,586.2518001,,
2015,fdd,585.4308581,,
1998,fdd,287.709687,,
2004,fdd,445.6826798,,
2000,fdd,307.4143182,,
1997,fdd,291.278198,,
2007,fdd,525.0577697,,
2010,fdd,648.5904936,,
2003,fdd,408.1590254,,
2011,fdd,659.030495,,
2001,fdd,323.6521501,,
2008,gmt,#N/A,,
2009,gmt,#N/A,,
2005,gmt,#N/A,,
2006,gmt,#N/A,,
2012,gmt,#N/A,,
2014,gmt,#N/A,,
2013,gmt,#N/A,,
1999,gmt,#N/A,,
2002,gmt,#N/A,,
2017,gmt,#N/A,,
2016,gmt,#N/A,,
2015,gmt,#N/A,,
1998,gmt,#N/A,,
2004,gmt,#N/A,,
2000,gmt,#N/A,,
1997,gmt,#N/A,,
2007,gmt,#N/A,,
2010,gmt,#N/A,,
2003,gmt,#N/A,,
2011,gmt,#N/A,,
2001,gmt,#N/A,,
2008,wtt,18.96913187,,
2009,wtt,18.15860919,,
2005,wtt,15.81666791,,
2006,wtt,16.82188522,,
2012,wtt,20.27812855,,
2014,wtt,22.08422132,,
2013,wtt,20.65863819,,
1999,wtt,11.00389941,,
2002,wtt,12.45327014,,
2017,wtt,25.20737312,,
2016,wtt,23.4067628,,
2015,wtt,22.43767232,,
1998,wtt,9.637940025,,
2004,wtt,15.27399763,,
2000,wtt,12.09884911,,
1997,wtt,8.83678738,,
2007,wtt,18.22764019,,
2010,wtt,18.56915402,,
2003,wtt,13.6454199,,
2011,wtt,19.20718018,,
2001,wtt,12.69415358,,
2008,wpd,131.9946,,
2009,wpd,99.71621295,,
2005,wpd,174.8862094,,
2006,wpd,172.8215365,,
2012,wpd,118.1116077,,
2014,wpd,145.0791878,,
2013,wpd,134.158282,,
1999,wpd,134.5354932,,
2002,wpd,129.7935521,,
2017,wpd,172.156768,,
2016,wpd,159.912316,,
2015,wpd,151.243702,,
1998,wpd,125.2942122,,
2004,wpd,161.099768,,
2000,wpd,128.7323238,,
1997,wpd,120.7381337,,
2007,wpd,154.7554084,,
2010,wpd,108.595237,,
2003,wpd,136.6508726,,
2011,wpd,110.6460284,,
2001,wpd,124.1917982,,
2008,wht,75.6058664,,
2009,wht,72.87028188,,
2005,wht,68.21639645,,
2006,wht,69.88993695,,
2012,wht,77.25642609,,
2014,wht,89.77901522,,
2013,wht,83.51600848,,
1999,wht,69.64100761,,
2002,wht,63.61040238,,
2017,wht,98.26026674,,
2016,wht,95.92821351,,
2015,wht,94.43834211,,
1998,wht,66.7664795,,
2004,wht,65.41602375,,
2000,wht,71.79337184,,
1997,wht,66.49731831,,
2007,wht,73.28993804,,
2010,wht,73.50302833,,
2003,wht,63.68602237,,
2011,wht,77.15488476,,
2001,wht,66.59413218,,
2008,wrh,80.01193421,,
2009,wrh,81.01544926,,
2005,wrh,55.24018572,,
2006,wrh,64.15360409,,
2012,wrh,111.882264,,
2014,wrh,119.656785,,
2013,wrh,115.9560753,,
1999,wrh,31.86996407,,
2002,wrh,39.95913465,,
2017,wrh,136.1827829,,
2016,wrh,129.9546011,,
2015,wrh,123.596932,,
1998,wrh,29.53460081,,
2004,wrh,50.91694297,,
2000,wrh,34.47538319,,
1997,wrh,27.28414395,,
2007,wrh,72.21674014,,
2010,wrh,90.97854587,,
2003,wrh,45.78055149,,
2011,wrh,100.4329069,,
2001,wrh,36.87260394,,
2008,ott,3.50283925,,
2009,ott,3.484141852,,
2005,ott,2.2319389,,
2006,ott,2.871853446,,
2012,ott,4.366006321,,
2014,ott,5.128472571,,
2013,ott,4.656261348,,
1999,ott,0.81732668,,
2002,ott,1.011802253,,
2017,ott,7.341162182,,
2016,ott,6.494654769,,
2015,ott,5.769049611,,
1998,ott,0.727006778,,
2004,ott,1.729388885,,
2000,ott,1.025712686,,
1997,ott,0.645008002,,
2007,ott,3.520700692,,
2010,ott,3.777686411,,
2003,ott,1.31790236,,
2011,ott,4.09392039,,
2001,ott,0.970621562,,
2008,che,1083.268381,,
2009,che,948.3190294,,
2005,che,903.8513601,,
2006,che,973.80234,,
2012,che,1193.845695,,
2014,che,1253.704486,,
2013,che,1253.097041,,
1999,che,605.8297918,,
2002,che,706.908932,,
2017,che,1284.145562,,
2016,che,1246.57291,,
2015,che,1242.720178,,
1998,che,575.4907831,,
2004,che,810.6790036,,
2000,che,652.2741374,,
1997,che,555.1595925,,
2007,che,1053.865912,,
2010,che,1070.781026,,
2003,che,741.7066183,,
2011,che,1169.583797,,
2001,che,660.3632239,,
2008,air,152.4094526,,
2009,air,129.7772249,,
2005,air,132.7929627,,
2006,air,142.2644352,,
2012,air,170.2598668,,
2014,air,187.1897052,,
2013,air,177.4296996,,
1999,air,111.6346407,,
2002,air,107.7947996,,
2017,air,203.4305328,,
2016,air,192.7099468,,
2015,air,190.1246822,,
1998,air,107.199819,,
2004,air,125.7473347,,
2000,air,125.7790167,,
1997,air,99.14638035,,
2007,air,146.2305517,,
2010,air,142.3563646,,
2003,air,116.8583885,,
2011,air,169.4502329,,
2001,air,112.7222047,,
2008,mmf,380.7649933,,
2009,mmf,336.8108769,,
2005,mmf,343.7190916,,
2006,mmf,363.6249203,,
2012,mmf,379.4057316,,
2014,mmf,399.0957686,,
2013,mmf,390.6369356,,
1999,mmf,246.8144301,,
2002,mmf,287.9174017,,
2017,mmf,436.370653,,
2016,mmf,419.8136485,,
2015,mmf,413.523219,,
1998,mmf,235.1512202,,
2004,mmf,318.3750694,,
2000,mmf,270.1582276,,
1997,mmf,220.7556258,,
2007,mmf,377.0859676,,
2010,mmf,362.4105069,,
2003,mmf,299.5770226,,
2011,mmf,374.9654023,,
2001,mmf,259.5976494,,
2008,otr,179.2148747,,
2009,otr,158.3021138,,
2005,otr,154.2244835,,
2006,otr,169.6488923,,
2012,otr,188.1535977,,
2014,otr,210.4527332,,
2013,otr,196.7046296,,
1999,otr,106.7672538,,
2002,otr,126.7263777,,
2017,otr,235.1590643,,
2016,otr,225.8049055,,
2015,otr,220.7763402,,
1998,otr,96.87438891,,
2004,otr,144.0928148,,
2000,otr,118.2978428,,
1997,otr,86.35308162,,
2007,otr,180.9478053,,
2010,otr,167.1792976,,
2003,otr,132.2702647,,
2011,otr,180.204174,,
2001,otr,122.9395829,,
2008,min,122.056404,,
2009,min,107.7548251,,
2005,min,98.77136321,,
2006,min,110.2864662,,
2012,min,117.0032947,,
2014,min,122.9454895,,
2013,min,114.0198074,,
1999,min,64.01833958,,
2002,min,65.21524141,,
2017,min,108.9098624,,
2016,min,98.44164687,,
2015,min,111.4677952,,
1998,min,65.59556671,,
2004,min,80.72813897,,
2000,min,64.28123437,,
1997,min,66.66741843,,
2007,min,110.4732258,,
2010,min,113.2328865,,
2003,min,69.31817534,,
2011,min,121.9194312,,
2001,min,65.20023445,,
