yr,i,m,value,
2008,tex,trn,2.2002106518570000E-12,
2009,tex,trn,9.3513640369444300E-13,
2005,tex,trn,2.7877280699108600E-11,
2006,tex,trn,6.6734653699213400E-11,
2012,tex,trn,1.7585231992626500E-12,
2014,tex,trn,9.0851356172164900E-12,
2013,tex,trn,6.6710596038831700E-12,
1999,tex,trn,3.9297747314645400E-12,
2002,tex,trn,1.6194383752818100E-11,
2017,tex,trn,5.5523468456385200E-12,
2016,tex,trn,7.5285065280959600E-12,
2015,tex,trn,1.6473979234861200E-11,
1998,tex,trn,1.3733209503005200E-12,
2004,tex,trn,2.4112130915871300E-11,
2000,tex,trn,8.9320136989405100E-12,
1997,tex,trn,3.7078499894504700E-12,
2007,tex,trn,1.3465814237396700E-12,
2010,tex,trn,4.1353877357962100E-13,
2003,tex,trn,1.8866751275256700E-11,
2011,tex,trn,8.0414652395387000E-13,
2001,tex,trn,5.2826711013298900E-12,
2008,leg,trn,2.2202631479026600E-12,
2009,leg,trn,9.4438467405588100E-13,
2005,leg,trn,2.8020284640393600E-11,
2006,leg,trn,6.7185344083875400E-11,
2012,leg,trn,1.7760562063834400E-12,
2014,leg,trn,9.1814215450181600E-12,
2013,leg,trn,6.7391016628748200E-12,
1999,leg,trn,3.9507148854879600E-12,
2002,leg,trn,1.6267766785876200E-11,
2017,leg,trn,5.5982612965778600E-12,
2016,leg,trn,7.5892793258981200E-12,
2015,leg,trn,1.6603508319921600E-11,
1998,leg,trn,1.3807492797247600E-12,
2004,leg,trn,2.4193991405814000E-11,
2000,leg,trn,8.9719565893708300E-12,
1997,leg,trn,3.7218692895304600E-12,
2007,leg,trn,1.3586420964352100E-12,
2010,leg,trn,4.1752868044529100E-13,
2003,leg,trn,1.8954711915373800E-11,
2011,leg,trn,8.1028797982049600E-13,
2001,leg,trn,5.3106498837019800E-12,
2008,fen,trn,2.2189494675703600E-12,
2009,fen,trn,9.4502747724579600E-13,
2005,fen,trn,2.7979238840415700E-11,
2006,fen,trn,6.7107547011242800E-11,
2012,fen,trn,1.7760880461444100E-12,
2014,fen,trn,9.1858022575541000E-12,
2013,fen,trn,6.7394930706329100E-12,
1999,fen,trn,3.9648387263159900E-12,
2002,fen,trn,1.6322156217954800E-11,
2017,fen,trn,5.6199313208721200E-12,
2016,fen,trn,7.5991179466356600E-12,
2015,fen,trn,1.6612233816332800E-11,
1998,fen,trn,1.3864578408484300E-12,
2004,fen,trn,2.4208443931939700E-11,
2000,fen,trn,9.0032443713064900E-12,
1997,fen,trn,3.7315569633442500E-12,
2007,fen,trn,1.3595758710546900E-12,
2010,fen,trn,4.1733375753768100E-13,
2003,fen,trn,1.9011775460829800E-11,
2011,fen,trn,8.1054521208936100E-13,
2001,fen,trn,5.3346162438556900E-12,
2008,uti,trn,2.2130471365624500E-12,
2009,uti,trn,9.4424438118330200E-13,
2005,uti,trn,2.8003472307189000E-11,
2006,uti,trn,6.7109031113751800E-11,
2012,uti,trn,1.7713869391025400E-12,
2014,uti,trn,9.1573910699595200E-12,
2013,uti,trn,6.7203567648177400E-12,
1999,uti,trn,3.9462141094596900E-12,
2002,uti,trn,1.6253404360231200E-11,
2017,uti,trn,5.5823573882399400E-12,
2016,uti,trn,7.5767411522543700E-12,
2015,uti,trn,1.6596204852779300E-11,
1998,uti,trn,1.3790446036654900E-12,
2004,uti,trn,2.4201401579012100E-11,
2000,uti,trn,8.9676967581541800E-12,
1997,uti,trn,3.7205848044410400E-12,
2007,uti,trn,1.3560263151085100E-12,
2010,uti,trn,4.1731502534485700E-13,
2003,uti,trn,1.8938106195168900E-11,
2011,uti,trn,8.0898665244777300E-13,
2001,uti,trn,5.3073619893930300E-12,
2008,nmp,trn,2.1990379411341300E-12,
2009,nmp,trn,9.3889857932172800E-13,
2005,nmp,trn,2.7892398287157900E-11,
2006,nmp,trn,6.6810859350161700E-11,
2012,nmp,trn,1.7586283793663900E-12,
2014,nmp,trn,9.1167699142568900E-12,
2013,nmp,trn,6.6846106157175600E-12,
1999,nmp,trn,3.9329329545478300E-12,
2002,nmp,trn,1.6189052362869800E-11,
2017,nmp,trn,5.5655392465559200E-12,
2016,nmp,trn,7.5608000806852300E-12,
2015,nmp,trn,1.6564156246114700E-11,
1998,nmp,trn,1.3744874699498200E-12,
2004,nmp,trn,2.4134946543182400E-11,
2000,nmp,trn,8.9364717981189700E-12,
1997,nmp,trn,3.7120180930249300E-12,
2007,nmp,trn,1.3498639820489100E-12,
2010,nmp,trn,4.1438800563792200E-13,
2003,nmp,trn,1.8865768417085200E-11,
2011,nmp,trn,8.0442241753235800E-13,
2001,nmp,trn,5.2843601988304300E-12,
2008,brd,trn,2.2162469126722000E-12,
2009,brd,trn,9.4456158378172400E-13,
2005,brd,trn,2.8032933999316900E-11,
2006,brd,trn,6.7225302059963200E-11,
2012,brd,trn,1.7737060973561500E-12,
2014,brd,trn,9.1684479014661600E-12,
2013,brd,trn,6.7291636111332900E-12,
1999,brd,trn,3.9456411886673200E-12,
2002,brd,trn,1.6253227805205200E-11,
2017,brd,trn,5.5851390867589400E-12,
2016,brd,trn,7.5841890036894300E-12,
2015,brd,trn,1.6601465707582200E-11,
1998,brd,trn,1.3783933961093400E-12,
2004,brd,trn,2.4206621403626300E-11,
2000,brd,trn,8.9674197034296000E-12,
1997,brd,trn,3.7178101861739800E-12,
2007,brd,trn,1.3582489953602400E-12,
2010,brd,trn,4.1755088584933200E-13,
2003,brd,trn,1.8943719642141800E-11,
2011,brd,trn,8.0970562838509700E-13,
2001,brd,trn,5.3084214062871200E-12,
2008,bnk,trn,2.2101601078622600E-12,
2009,bnk,trn,9.4222565399050900E-13,
2005,bnk,trn,2.7964807489953200E-11,
2006,bnk,trn,6.7068011230480700E-11,
2012,bnk,trn,1.7693066279539400E-12,
2014,bnk,trn,9.1464315911085200E-12,
2013,bnk,trn,6.7130963179945400E-12,
1999,bnk,trn,3.9390964137554700E-12,
2002,bnk,trn,1.6225012023077400E-11,
2017,bnk,trn,5.5787764392451700E-12,
2016,bnk,trn,7.5714289338911300E-12,
2015,bnk,trn,1.6568543546762900E-11,
1998,bnk,trn,1.3767215987672100E-12,
2004,bnk,trn,2.4137157553870200E-11,
2000,bnk,trn,8.9513950000282900E-12,
1997,bnk,trn,3.7143076114290700E-12,
2007,bnk,trn,1.3548633980257400E-12,
2010,bnk,trn,4.1662719622458100E-13,
2003,bnk,trn,1.8904485276150100E-11,
2011,bnk,trn,8.0728666084019300E-13,
2001,bnk,trn,5.2989027700258700E-12,
2008,ore,trn,2.2107364772012200E-12,
2009,ore,trn,9.4349662557214100E-13,
2005,ore,trn,2.8032445763434800E-11,
2006,ore,trn,6.7184541997924200E-11,
2012,ore,trn,1.7712965678506100E-12,
2014,ore,trn,9.1516731429359200E-12,
2013,ore,trn,6.7180977857801600E-12,
1999,ore,trn,3.9464787478384000E-12,
2002,ore,trn,1.6260652595194300E-11,
2017,ore,trn,5.5789319894991200E-12,
2016,ore,trn,7.5708693226602100E-12,
2015,ore,trn,1.6568925513805500E-11,
1998,ore,trn,1.3794778287899700E-12,
2004,ore,trn,2.4204263146482900E-11,
2000,ore,trn,8.9695967612159800E-12,
1997,ore,trn,3.7190322793895300E-12,
2007,ore,trn,1.3561613324806800E-12,
2010,ore,trn,4.1713712692540300E-13,
2003,ore,trn,1.8944887197981500E-11,
2011,ore,trn,8.0823861790776800E-13,
2001,ore,trn,5.3117812147394700E-12,
2008,edu,trn,2.2127697464347800E-12,
2009,edu,trn,9.4406091449789200E-13,
2005,edu,trn,2.8006550108797300E-11,
2006,edu,trn,6.7130932850192800E-11,
2012,edu,trn,1.7703703386002600E-12,
2014,edu,trn,9.1481643680500500E-12,
2013,edu,trn,6.7159754790388100E-12,
1999,edu,trn,3.9332480830344800E-12,
2002,edu,trn,1.6218056720864000E-11,
2017,edu,trn,5.5747518700809100E-12,
2016,edu,trn,7.5707583173982900E-12,
2015,edu,trn,1.6577349995092700E-11,
1998,edu,trn,1.3741932101648300E-12,
2004,edu,trn,2.4192863342678200E-11,
2000,edu,trn,8.9421578717177200E-12,
1997,edu,trn,3.7103845654374000E-12,
2007,edu,trn,1.3557375751540800E-12,
2010,edu,trn,4.1726708901670800E-13,
2003,edu,trn,1.8907920342595200E-11,
2011,edu,trn,8.0890933585549600E-13,
2001,edu,trn,5.2897049688962700E-12,
2008,ote,trn,2.2072937679508000E-12,
2009,ote,trn,9.4007888762203300E-13,
2005,ote,trn,2.7877858762294700E-11,
2006,ote,trn,6.6912900881925300E-11,
2012,ote,trn,1.7683697110400300E-12,
2014,ote,trn,9.1342125639659300E-12,
2013,ote,trn,6.7059061549765000E-12,
1999,ote,trn,3.9307365025377800E-12,
2002,ote,trn,1.6179809697873100E-11,
2017,ote,trn,5.5661523449245100E-12,
2016,ote,trn,7.5620112294153700E-12,
2015,ote,trn,1.6561804003128900E-11,
1998,ote,trn,1.3737503350342300E-12,
2004,ote,trn,2.4069659337212900E-11,
2000,ote,trn,8.9307897027721800E-12,
1997,ote,trn,3.7079510919011000E-12,
2007,ote,trn,1.3525268639460200E-12,
2010,ote,trn,4.1612420014771800E-13,
2003,ote,trn,1.8853782380675500E-11,
2011,ote,trn,8.0786618096146700E-13,
2001,ote,trn,5.2790284003462500E-12,
2008,man,trn,2.2146097564165500E-12,
2009,man,trn,9.4280422685401300E-13,
2005,man,trn,2.8012051060729300E-11,
2006,man,trn,6.7177036367543300E-11,
2012,man,trn,1.7732524484705200E-12,
2014,man,trn,9.1615377491152300E-12,
2013,man,trn,6.7247493312799100E-12,
1999,man,trn,3.9469794275839400E-12,
2002,man,trn,1.6259505803632300E-11,
2017,man,trn,5.5865511435293400E-12,
2016,man,trn,7.5777303487566200E-12,
2015,man,trn,1.6579178905240500E-11,
1998,man,trn,1.3793963155543500E-12,
2004,man,trn,2.4174210366587300E-11,
2000,man,trn,8.9667235374675500E-12,
1997,man,trn,3.7174697884946400E-12,
2007,man,trn,1.3566699486222000E-12,
2010,man,trn,4.1694846118274300E-13,
2003,man,trn,1.8939518792480000E-11,
2011,man,trn,8.0918427729011100E-13,
2001,man,trn,5.3125606003346900E-12,
2008,mch,trn,2.2096445857768000E-12,
2009,mch,trn,9.4186382695134900E-13,
2005,mch,trn,2.7915730176138400E-11,
2006,mch,trn,6.6907788135146500E-11,
2012,mch,trn,1.7686646836321900E-12,
2014,mch,trn,9.1437539116119900E-12,
2013,mch,trn,6.7118141009752300E-12,
1999,mch,trn,3.9360084701709200E-12,
2002,mch,trn,1.6194885175649600E-11,
2017,mch,trn,5.5765246579211400E-12,
2016,mch,trn,7.5689129278828200E-12,
2015,mch,trn,1.6579558334797000E-11,
1998,mch,trn,1.3764914714545100E-12,
2004,mch,trn,2.4136051753611600E-11,
2000,mch,trn,8.9480762808534700E-12,
1997,mch,trn,3.7149617696229000E-12,
2007,mch,trn,1.3532464031720400E-12,
2010,mch,trn,4.1627915022793000E-13,
2003,mch,trn,1.8876568852491700E-11,
2011,mch,trn,8.0760182663017500E-13,
2001,mch,trn,5.2920442003384500E-12,
2008,dat,trn,2.2046137676368400E-12,
2009,dat,trn,9.4122965610738700E-13,
2005,dat,trn,2.7870780756808200E-11,
2006,dat,trn,6.6796910133609000E-11,
2012,dat,trn,1.7657056281812000E-12,
2014,dat,trn,9.1356473754656100E-12,
2013,dat,trn,6.7037434037300400E-12,
1999,dat,trn,3.9436079827085700E-12,
2002,dat,trn,1.6269717836928500E-11,
2017,dat,trn,5.5893036679851500E-12,
2016,dat,trn,7.5705291796393800E-12,
2015,dat,trn,1.6557888130493300E-11,
1998,dat,trn,1.3826985011240500E-12,
2004,dat,trn,2.4152862373017100E-11,
2000,dat,trn,8.9567407485892400E-12,
1997,dat,trn,3.7246608632384900E-12,
2007,dat,trn,1.3517034015048400E-12,
2010,dat,trn,4.1536613334360600E-13,
2003,dat,trn,1.8959552581555800E-11,
2011,dat,trn,8.0647659276476400E-13,
2001,dat,trn,5.3075875654048700E-12,
2008,amd,trn,2.2033576570083100E-12,
2009,amd,trn,9.3895345976666400E-13,
2005,amd,trn,2.7810227248334600E-11,
2006,amd,trn,6.6675850861563100E-11,
2012,amd,trn,1.7612313344255500E-12,
2014,amd,trn,9.1142997851095500E-12,
2013,amd,trn,6.6883900603860100E-12,
1999,amd,trn,3.9246571556548800E-12,
2002,amd,trn,1.6169871977854600E-11,
2017,amd,trn,5.5680883563883800E-12,
2016,amd,trn,7.5581310694399600E-12,
2015,amd,trn,1.6541103129216000E-11,
1998,amd,trn,1.3721105659258100E-12,
2004,amd,trn,2.4043059813705100E-11,
2000,amd,trn,8.9221185654497600E-12,
1997,amd,trn,3.7033928036396600E-12,
2007,amd,trn,1.3485474001564000E-12,
2010,amd,trn,4.1470848732590200E-13,
2003,amd,trn,1.8831114934526700E-11,
2011,amd,trn,8.0513800252400600E-13,
2001,amd,trn,5.2776636146507800E-12,
2008,oil,trn,2.1835645137831800E-12,
2009,oil,trn,9.3414022644865700E-13,
2005,oil,trn,2.7629467939450200E-11,
2006,oil,trn,6.6221027124375300E-11,
2012,oil,trn,1.7508433651542000E-12,
2014,oil,trn,9.0744359343994100E-12,
2013,oil,trn,6.6538279766027700E-12,
1999,oil,trn,3.9156980391341300E-12,
2002,oil,trn,1.6128803533091100E-11,
2017,oil,trn,5.5559517255610900E-12,
2016,oil,trn,7.5371985862032600E-12,
2015,oil,trn,1.6492620126575900E-11,
1998,oil,trn,1.3692106344581400E-12,
2004,oil,trn,2.3925216678930000E-11,
2000,oil,trn,8.8861767175609000E-12,
1997,oil,trn,3.6955195729894100E-12,
2007,oil,trn,1.3409012349756300E-12,
2010,oil,trn,4.1199160799583900E-13,
2003,oil,trn,1.8779483403715400E-11,
2011,oil,trn,7.9975735158008700E-13,
2001,oil,trn,5.2614484996259800E-12,
2008,hos,trn,2.2122460329081900E-12,
2009,hos,trn,9.4438842767985300E-13,
2005,hos,trn,2.7995903694899000E-11,
2006,hos,trn,6.7076073933916900E-11,
2012,hos,trn,1.7697181137129200E-12,
2014,hos,trn,9.1547814361095300E-12,
2013,hos,trn,6.7182133255911900E-12,
1999,hos,trn,3.9379868084638400E-12,
2002,hos,trn,1.6236158562423600E-11,
2017,hos,trn,5.5853909894237300E-12,
2016,hos,trn,7.5813923902110400E-12,
2015,hos,trn,1.6605124998897100E-11,
1998,hos,trn,1.3766844786709900E-12,
2004,hos,trn,2.4200512499470100E-11,
2000,hos,trn,8.9513643720082400E-12,
1997,hos,trn,3.7150943491379300E-12,
2007,hos,trn,1.3548971455876400E-12,
2010,hos,trn,4.1726899762847700E-13,
2003,hos,trn,1.8921559764022000E-11,
2011,hos,trn,8.0909321260054700E-13,
2001,hos,trn,5.2986277263444400E-12,
2008,rnt,trn,2.2108229773048500E-12,
2009,rnt,trn,9.4345738214319800E-13,
