yr,i,fd,value
1997,con,fed_structures,1.02E+01
2007,con,fed_structures,1.13E+01
2010,con,fed_structures,1.45E+01
2003,con,fed_structures,1.05E+01
2011,con,fed_structures,1.72E+01
2001,con,fed_structures,9.21E+00
2008,agr,fed_structures,-9.97E-09
2009,agr,fed_structures,-9.97E-09
2005,agr,fed_structures,-9.97E-09
2006,agr,fed_structures,-9.97E-09
2012,agr,fed_structures,-9.99E-09
2014,agr,fed_structures,-9.99E-09
2013,agr,fed_structures,-9.99E-09
1999,agr,fed_structures,-9.97E-09
2002,agr,fed_structures,-9.99E-09
2017,agr,fed_structures,-9.99E-09
2016,agr,fed_structures,-9.97E-09
2015,agr,fed_structures,-9.97E-09
1998,agr,fed_structures,-9.97E-09
2004,agr,fed_structures,-9.97E-09
2000,agr,fed_structures,-9.99E-09
1997,agr,fed_structures,-9.97E-09
2007,agr,fed_structures,-9.97E-09
2010,agr,fed_structures,-9.97E-09
2003,agr,fed_structures,-9.99E-09
2011,agr,fed_structures,-9.97E-09
2001,agr,fed_structures,-9.99E-09
2008,eec,fed_structures,-9.97E-09
2009,eec,fed_structures,-9.97E-09
2005,eec,fed_structures,-9.97E-09
2006,eec,fed_structures,-9.97E-09
2012,eec,fed_structures,-9.99E-09
2014,eec,fed_structures,-9.99E-09
2013,eec,fed_structures,-9.99E-09
1999,eec,fed_structures,-9.97E-09
2002,eec,fed_structures,-9.99E-09
2017,eec,fed_structures,-9.99E-09
2016,eec,fed_structures,-9.97E-09
2015,eec,fed_structures,-9.97E-09
1998,eec,fed_structures,-9.97E-09
2004,eec,fed_structures,-9.97E-09
2000,eec,fed_structures,-9.99E-09
1997,eec,fed_structures,-9.97E-09
2007,eec,fed_structures,-9.97E-09
2010,eec,fed_structures,-9.97E-09
2003,eec,fed_structures,-9.99E-09
2011,eec,fed_structures,-9.97E-09
2001,eec,fed_structures,-9.99E-09
2008,fnd,fed_structures,-9.97E-09
2009,fnd,fed_structures,-9.97E-09
2005,fnd,fed_structures,-9.97E-09
2006,fnd,fed_structures,-9.97E-09
2012,fnd,fed_structures,-9.99E-09
2014,fnd,fed_structures,-9.99E-09
2013,fnd,fed_structures,-9.99E-09
1999,fnd,fed_structures,-9.97E-09
2002,fnd,fed_structures,-9.99E-09
2017,fnd,fed_structures,-9.99E-09
2016,fnd,fed_structures,-9.97E-09
2015,fnd,fed_structures,-9.97E-09
1998,fnd,fed_structures,-9.97E-09
2004,fnd,fed_structures,-9.97E-09
2000,fnd,fed_structures,-9.99E-09
1997,fnd,fed_structures,-9.97E-09
2007,fnd,fed_structures,-9.97E-09
2010,fnd,fed_structures,-9.97E-09
2003,fnd,fed_structures,-9.99E-09
2011,fnd,fed_structures,-9.97E-09
2001,fnd,fed_structures,-9.99E-09
2008,pub,fed_structures,-9.97E-09
2009,pub,fed_structures,-9.97E-09
2005,pub,fed_structures,-9.97E-09
2006,pub,fed_structures,-9.97E-09
2012,pub,fed_structures,-9.99E-09
2014,pub,fed_structures,-9.99E-09
2013,pub,fed_structures,-9.99E-09
1999,pub,fed_structures,-9.97E-09
2002,pub,fed_structures,-9.99E-09
2017,pub,fed_structures,-9.99E-09
2016,pub,fed_structures,-9.97E-09
2015,pub,fed_structures,-9.97E-09
1998,pub,fed_structures,-9.97E-09
2004,pub,fed_structures,-9.97E-09
2000,pub,fed_structures,-9.99E-09
1997,pub,fed_structures,-9.97E-09
2007,pub,fed_structures,-9.97E-09
2010,pub,fed_structures,-9.97E-09
2003,pub,fed_structures,-9.99E-09
2011,pub,fed_structures,-9.97E-09
2001,pub,fed_structures,-9.99E-09
2008,hou,fed_structures,-9.97E-09
2009,hou,fed_structures,-9.97E-09
2005,hou,fed_structures,-9.97E-09
2006,hou,fed_structures,-9.97E-09
2012,hou,fed_structures,-9.99E-09
2014,hou,fed_structures,-9.99E-09
2013,hou,fed_structures,-9.99E-09
1999,hou,fed_structures,-9.97E-09
2002,hou,fed_structures,-9.99E-09
2017,hou,fed_structures,-9.99E-09
2016,hou,fed_structures,-9.97E-09
2015,hou,fed_structures,-9.97E-09
1998,hou,fed_structures,-9.97E-09
2004,hou,fed_structures,-9.97E-09
2000,hou,fed_structures,-9.99E-09
1997,hou,fed_structures,-9.97E-09
2007,hou,fed_structures,-9.97E-09
2010,hou,fed_structures,-9.97E-09
2003,hou,fed_structures,-9.99E-09
2011,hou,fed_structures,-9.97E-09
2001,hou,fed_structures,-9.99E-09
2008,fbt,fed_structures,0.00E+00
2009,fbt,fed_structures,0.00E+00
2005,fbt,fed_structures,0.00E+00
2006,fbt,fed_structures,0.00E+00
2012,fbt,fed_structures,0.00E+00
2014,fbt,fed_structures,0.00E+00
2013,fbt,fed_structures,0.00E+00
1999,fbt,fed_structures,0.00E+00
2002,fbt,fed_structures,0.00E+00
2017,fbt,fed_structures,0.00E+00
2016,fbt,fed_structures,0.00E+00
2015,fbt,fed_structures,0.00E+00
1998,fbt,fed_structures,0.00E+00
2004,fbt,fed_structures,0.00E+00
2000,fbt,fed_structures,0.00E+00
1997,fbt,fed_structures,0.00E+00
2007,fbt,fed_structures,0.00E+00
2010,fbt,fed_structures,0.00E+00
2003,fbt,fed_structures,0.00E+00
2011,fbt,fed_structures,0.00E+00
2001,fbt,fed_structures,0.00E+00
2008,ins,fed_structures,-9.97E-09
2009,ins,fed_structures,-9.97E-09
2005,ins,fed_structures,-9.97E-09
2006,ins,fed_structures,-9.97E-09
2012,ins,fed_structures,-9.99E-09
2014,ins,fed_structures,-9.99E-09
2013,ins,fed_structures,-9.99E-09
1999,ins,fed_structures,-9.97E-09
2002,ins,fed_structures,-9.99E-09
2017,ins,fed_structures,-9.99E-09
2016,ins,fed_structures,-9.97E-09
2015,ins,fed_structures,-9.97E-09
1998,ins,fed_structures,-9.97E-09
2004,ins,fed_structures,-9.97E-09
2000,ins,fed_structures,-9.99E-09
1997,ins,fed_structures,-9.97E-09
2007,ins,fed_structures,-9.97E-09
2010,ins,fed_structures,-9.97E-09
2003,ins,fed_structures,-9.99E-09
2011,ins,fed_structures,-9.97E-09
2001,ins,fed_structures,-9.99E-09
2008,tex,fed_structures,-9.97E-09
2009,tex,fed_structures,-9.97E-09
2005,tex,fed_structures,-9.97E-09
2006,tex,fed_structures,-9.97E-09
2012,tex,fed_structures,-9.99E-09
2014,tex,fed_structures,-9.99E-09
2013,tex,fed_structures,-9.99E-09
1999,tex,fed_structures,-9.97E-09
2002,tex,fed_structures,-9.99E-09
2017,tex,fed_structures,-9.99E-09
2016,tex,fed_structures,-9.97E-09
2015,tex,fed_structures,-9.97E-09
1998,tex,fed_structures,-9.97E-09
2004,tex,fed_structures,-9.97E-09
2000,tex,fed_structures,-9.99E-09
1997,tex,fed_structures,-9.97E-09
2007,tex,fed_structures,-9.97E-09
2010,tex,fed_structures,-9.97E-09
2003,tex,fed_structures,-9.99E-09
2011,tex,fed_structures,-9.97E-09
2001,tex,fed_structures,-9.99E-09
2008,leg,fed_structures,-9.97E-09
2009,leg,fed_structures,-9.97E-09
2005,leg,fed_structures,-9.97E-09
2006,leg,fed_structures,-9.97E-09
2012,leg,fed_structures,-9.99E-09
2014,leg,fed_structures,-9.99E-09
2013,leg,fed_structures,-9.99E-09
1999,leg,fed_structures,-9.97E-09
2002,leg,fed_structures,-9.99E-09
2017,leg,fed_structures,-9.99E-09
2016,leg,fed_structures,-9.97E-09
2015,leg,fed_structures,-9.97E-09
1998,leg,fed_structures,-9.97E-09
2004,leg,fed_structures,-9.97E-09
2000,leg,fed_structures,-9.99E-09
1997,leg,fed_structures,-9.97E-09
2007,leg,fed_structures,-9.97E-09
2010,leg,fed_structures,-9.97E-09
2003,leg,fed_structures,-9.99E-09
2011,leg,fed_structures,-9.97E-09
2001,leg,fed_structures,-9.99E-09
2008,fen,fed_structures,-9.97E-09
2009,fen,fed_structures,-9.97E-09
2005,fen,fed_structures,-9.97E-09
2006,fen,fed_structures,-9.97E-09
2012,fen,fed_structures,-9.99E-09
2014,fen,fed_structures,-9.99E-09
2013,fen,fed_structures,-9.99E-09
1999,fen,fed_structures,-9.97E-09
2002,fen,fed_structures,-9.99E-09
2017,fen,fed_structures,-9.99E-09
2016,fen,fed_structures,-9.97E-09
2015,fen,fed_structures,-9.97E-09
1998,fen,fed_structures,-9.97E-09
2004,fen,fed_structures,-9.97E-09
2000,fen,fed_structures,-9.99E-09
1997,fen,fed_structures,-9.97E-09
2007,fen,fed_structures,-9.97E-09
2010,fen,fed_structures,-9.97E-09
2003,fen,fed_structures,-9.99E-09
2011,fen,fed_structures,-9.97E-09
2001,fen,fed_structures,-9.99E-09
2008,uti,fed_structures,-9.97E-09
2009,uti,fed_structures,-9.97E-09
2005,uti,fed_structures,-9.97E-09
2006,uti,fed_structures,-9.97E-09
2012,uti,fed_structures,-9.99E-09
2014,uti,fed_structures,-9.99E-09
2013,uti,fed_structures,-9.99E-09
1999,uti,fed_structures,-9.97E-09
2002,uti,fed_structures,-9.99E-09
2017,uti,fed_structures,-9.99E-09
2016,uti,fed_structures,-9.97E-09
2015,uti,fed_structures,-9.97E-09
1998,uti,fed_structures,-9.97E-09
2004,uti,fed_structures,-9.97E-09
2000,uti,fed_structures,-9.99E-09
1997,uti,fed_structures,-9.97E-09
2007,uti,fed_structures,-9.97E-09
2010,uti,fed_structures,-9.97E-09
2003,uti,fed_structures,-9.99E-09
2011,uti,fed_structures,-9.97E-09
2001,uti,fed_structures,-9.99E-09
2008,nmp,fed_structures,-9.97E-09
2009,nmp,fed_structures,-9.97E-09
2005,nmp,fed_structures,-9.97E-09
2006,nmp,fed_structures,-9.97E-09
2012,nmp,fed_structures,-9.99E-09
2014,nmp,fed_structures,-9.99E-09
2013,nmp,fed_structures,-9.99E-09
1999,nmp,fed_structures,-9.97E-09
2002,nmp,fed_structures,-9.99E-09
2017,nmp,fed_structures,-9.99E-09
2016,nmp,fed_structures,-9.97E-09
2015,nmp,fed_structures,-9.97E-09
1998,nmp,fed_structures,-9.97E-09
2004,nmp,fed_structures,-9.97E-09
2000,nmp,fed_structures,-9.99E-09
1997,nmp,fed_structures,-9.97E-09
2007,nmp,fed_structures,-9.97E-09
2010,nmp,fed_structures,-9.97E-09
2003,nmp,fed_structures,-9.99E-09
2011,nmp,fed_structures,-9.97E-09
2001,nmp,fed_structures,-9.99E-09
2008,brd,fed_structures,-9.97E-09
2009,brd,fed_structures,-9.97E-09
2005,brd,fed_structures,-9.97E-09
2006,brd,fed_structures,-9.97E-09
2012,brd,fed_structures,-9.99E-09
2014,brd,fed_structures,-9.99E-09
2013,brd,fed_structures,-9.99E-09
1999,brd,fed_structures,-9.97E-09
2002,brd,fed_structures,-9.99E-09
2017,brd,fed_structures,-9.99E-09
2016,brd,fed_structures,-9.97E-09
2015,brd,fed_structures,-9.97E-09
1998,brd,fed_structures,-9.97E-09
2004,brd,fed_structures,-9.97E-09
2000,brd,fed_structures,-9.99E-09
1997,brd,fed_structures,-9.97E-09
2007,brd,fed_structures,-9.97E-09
2010,brd,fed_structures,-9.97E-09
2003,brd,fed_structures,-9.99E-09
2011,brd,fed_structures,-9.97E-09
2001,brd,fed_structures,-9.99E-09
2008,bnk,fed_structures,-9.97E-09
2009,bnk,fed_structures,-9.97E-09
2005,bnk,fed_structures,-9.97E-09
2006,bnk,fed_structures,-9.97E-09
2012,bnk,fed_structures,-9.99E-09
2014,bnk,fed_structures,-9.99E-09
2013,bnk,fed_structures,-9.99E-09
1999,bnk,fed_structures,-9.97E-09
2002,bnk,fed_structures,-9.99E-09
2017,bnk,fed_structures,-9.99E-09
2016,bnk,fed_structures,-9.97E-09
2015,bnk,fed_structures,-9.97E-09
1998,bnk,fed_structures,-9.97E-09
2004,bnk,fed_structures,-9.97E-09
2000,bnk,fed_structures,-9.99E-09
1997,bnk,fed_structures,-9.97E-09
2007,bnk,fed_structures,-9.97E-09
2010,bnk,fed_structures,-9.97E-09
2003,bnk,fed_structures,-9.99E-09
