yr,i,fd,Value
2017,smn,structures,108.8193043
2017,smn,equipment,2.418472938
2017,smn,fed_intelprop,5.59E-12
2017,fmt,def_equipment,1.784671077
2017,fmt,changinv,4.206295455
2017,fmt,state_equipment,0.017025497
2017,fmt,fed_equipment,0.012018003
2017,fmt,equipment,16.67695996
2017,fmt,pce,45.07846775
2017,fmt,fed_intelprop,5.63E-12
2017,pet,changinv,5.17E-09
2017,pet,pce,306.9415819
2017,pet,fed_intelprop,5.61E-12
2017,cep,def_equipment,15.22257398
2017,cep,changinv,2.527047765
2017,cep,state_equipment,0.540577228
2017,cep,fed_equipment,0.167800016
2017,cep,residential,0.498376033
2017,cep,equipment,289.9985749
2017,cep,pce,165.50103
2017,cep,fed_intelprop,5.61E-12
2017,wst,fed_structures,5.68E-12
2017,wst,pce,26.4429897
2017,mot,def_equipment,25.99798954
2017,mot,changinv,10.57931628
2017,mot,state_equipment,37.94477557
2017,mot,nondefense,5.60E-12
2017,mot,fed_equipment,19.74297005
2017,mot,equipment,326.3142266
2017,mot,pce,338.4075989
2017,adm,equipment,5.61E-12
2017,adm,pce,63.66137073
2017,soc,pce,210.6624573
2017,soc,state_consume,5.58E-12
2017,alt,changinv,2.03E-08
2017,alt,defense,5.60E-12
2017,alt,pce,394.4713885
2017,pmt,changinv,3.008587883
2017,pmt,pce,1.045178857
2017,pmt,fed_intelprop,5.60E-12
2017,trk,pce,12.30515523
2017,trk,fed_intelprop,5.69E-12
2017,fdd,defense,597.9266084
2017,fdd,fed_intelprop,5.60E-12
2017,wtt,pce,21.28077931
2017,wtt,fed_intelprop,5.61E-12
2017,wpd,changinv,0.433399678
2017,wpd,fed_equipment,0.195080151
2017,wpd,structures,0.44948876
2017,wpd,residential,10.39656407
2017,wpd,pce,10.73342924
2017,wpd,fed_intelprop,5.64E-12
2017,wht,state_intelprop,5.66E-12
2017,wrh,equipment,5.69E-12
2017,wrh,pce,0.123422761
2017,ott,fed_equipment,5.63E-12
2017,ott,pce,5.669663374
2017,che,changinv,1.43E-08
2017,che,state_invest,5.61E-12
2017,che,equipment,1.992482704
2017,che,pce,632.2016777
2017,air,defense,5.65E-12
2017,air,pce,124.014428
2017,mmf,def_equipment,0.037307459
2017,mmf,changinv,1.732275071
