yr,m,i,Value
2016,trn,sec,7.61E-12
2016,trn,art,7.60E-12
2016,trn,mov,0.132966668
2016,trn,fpd,13.72533642
2016,trn,slg,7.62E-12
2016,trn,pri,3.068098498
2016,trn,grd,7.61E-12
2016,trn,pip,7.64E-12
2016,trn,sle,7.60E-12
2016,trn,osv,7.61E-12
2016,trn,trn,7.60E-12
2016,trn,smn,7.65E-12
2016,trn,fmt,12.34575693
2016,trn,pet,30.12836833
2016,trn,cep,10.03162315
2016,trn,wst,7.60E-12
2016,trn,mot,15.82452761
2016,trn,adm,7.62E-12
2016,trn,soc,7.65E-12
2016,trn,alt,6.885699401
2016,trn,pmt,12.19900292
2016,trn,trk,7.56E-12
2016,trn,fdd,7.62E-12
2016,trn,wtt,7.61E-12
2016,trn,wpd,7.320142898
2016,trn,wht,7.60E-12
2016,trn,wrh,7.60E-12
2016,trn,ott,7.61E-12
2016,trn,che,35.23051808
2016,trn,air,7.58E-12
2016,trn,mmf,14.44002158
2016,trn,otr,7.61E-12
2016,trn,min,27.39830444
2016,trd,ppd,43.83021086
2016,trd,res,7.57E-12
2016,trd,com,7.58E-12
2016,trd,amb,7.57E-12
2016,trd,fbp,431.9825416
2016,trd,rec,7.60E-12
2016,trd,con,7.58E-12
2016,trd,agr,85.42929638
2016,trd,eec,99.61550068
2016,trd,fnd,7.58E-12
2016,trd,pub,89.52821527
2016,trd,hou,7.58E-12
2016,trd,ins,7.58E-12
2016,trd,tex,65.85489001
2016,trd,leg,7.54E-12
2016,trd,fen,7.51E-12
2016,trd,uti,7.56E-12
2016,trd,nmp,41.49357705
2016,trd,brd,7.56E-12
2016,trd,bnk,7.56E-12
2016,trd,ore,7.58E-12
2016,trd,edu,7.57E-12
2016,trd,ote,26.37707813
2016,trd,man,7.56E-12
2016,trd,mch,161.0848393
2016,trd,dat,7.54E-12
2016,trd,amd,7.57E-12
2016,trd,oil,8.81723759
2016,trd,hos,7.57E-12
2016,trd,rnt,7.54E-12
2016,trd,pla,95.11963214
2016,trd,fof,9.41788093
2016,trd,fin,7.58E-12
2016,trd,tsv,7.56E-12
2016,trd,nrs,7.60E-12
2016,trd,sec,7.56E-12
2016,trd,art,7.56E-12
2016,trd,mov,9.661204355
2016,trd,fpd,79.1509229
2016,trd,slg,7.58E-12
2016,trd,pri,14.98115659
2016,trd,grd,7.57E-12
2016,trd,pip,7.60E-12
2016,trd,sle,7.56E-12
2016,trd,osv,7.57E-12
2016,trd,trn,7.56E-12
2016,trd,smn,7.60E-12
2016,trd,fmt,96.47583737
2016,trd,pet,123.0469543
2016,trd,cep,216.8584069
2016,trd,wst,7.55E-12
2016,trd,mot,199.8829012
2016,trd,adm,7.58E-12
2016,trd,soc,7.60E-12
2016,trd,alt,232.3674265
2016,trd,pmt,31.25561123
2016,trd,trk,7.52E-12
2016,trd,fdd,7.58E-12
2016,trd,wtt,7.57E-12
2016,trd,wpd,32.33752794
2016,trd,wht,7.56E-12
2016,trd,wrh,7.56E-12
2016,trd,ott,7.56E-12
2016,trd,che,430.1295304
2016,trd,air,7.54E-12
2016,trd,mmf,191.6773701
2016,trd,otr,7.57E-12
2016,trd,min,6.837147601
2015,trn,ppd,11.35515871
2015,trn,res,1.67E-11
2015,trn,com,1.67E-11
2015,trn,amb,1.67E-11
2015,trn,fbp,25.69057792
2015,trn,rec,1.67E-11
2015,trn,con,1.67E-11
2015,trn,agr,58.69870246
2015,trn,eec,7.469119346
2015,trn,fnd,1.67E-11
2015,trn,pub,3.795316049
2015,trn,hou,1.67E-11
2015,trn,ins,1.67E-11
