yr,j,Value
2000,tsv,0.005832498
2000,nrs,0.007439504
2000,sec,0.010434285
2000,art,0.013016164
2000,mov,0.006573801
2000,fpd,0.003822479
2000,pri,0.006733975
2000,grd,0.03009956
2000,pip,0.04870368
2000,osv,0.014329156
2000,trn,0.014492754
2000,smn,0.035106697
2000,fmt,0.007249645
2000,pet,0.006960577
2000,mvt,0.003176249
2000,cep,0.007819067
2000,wst,0.024673724
2000,mot,0.003730058
2000,adm,0.004824367
2000,soc,0.006882811
2000,alt,0.004049819
2000,pmt,0.012941602
2000,trk,0.00974103
2000,gmt,0.004845295
2000,wtt,0.024968835
2000,wpd,0.005553799
2000,wht,0.010929151
2000,wrh,0.010953551
2000,ott,0.003832772
2000,che,0.008665404
2000,air,0.02447353
2000,mmf,0.006339083
2000,otr,0.016072539
2000,min,0.030521998
2001,ppd,0.009463682
2001,res,0.00797901
2001,com,0.006274629
2001,amb,0.008540319
2001,fbp,0.006572693
2001,rec,0.020882145
2001,con,0.005006067
2001,agr,0.019920627
2001,eec,0.008554204
2001,pub,0.006831072
2001,hou,0.115495158
2001,fbt,0.012959533
2001,ins,0.00801535
2001,tex,0.007718528
2001,leg,0.00353682
2001,uti,0.033866422
2001,nmp,0.009054283
2001,brd,0.009607696
2001,bnk,0.015592409
2001,ore,0.025212923
2001,edu,0.022930815
2001,ote,0.008223167
2001,man,0.018113243
2001,mch,0.008793509
2001,dat,0.011380208
2001,amd,0.022158239
2001,oil,0.04713274
2001,hos,0.015482965
2001,rnt,0.020901551
2001,pla,0.006357766
2001,fof,0.013254786
2001,fin,0.010317303
2001,tsv,0.006613467
2001,nrs,0.013143047
2001,sec,0.010953113
2001,art,0.016680202
2001,mov,0.022151163
2001,fpd,0.003667565
2001,pri,0.005971785
2001,grd,0.027661327
2001,pip,0.042533457
2001,osv,0.01291369
2001,trn,0.014358671
2001,smn,0.022303665
2001,fmt,0.007062971
2001,pet,0.006946739
2001,mvt,0.011552946
2001,cep,0.011212543
2001,wst,0.021116892
2001,mot,0.004587016
2001,adm,0.004614996
2001,soc,0.006110176
2001,alt,0.004645701
2001,pmt,0.012582913
2001,trk,0.009308217
2001,gmt,0.015541447
2001,wtt,0.018197254
2001,wpd,0.005051539
2001,wht,0.009479248
2001,wrh,0.008898317
2001,ott,0.013351893
2001,che,0.013044228
2001,air,0.023027812
2001,mmf,0.008753048
2001,otr,0.013806771
2001,min,0.024854733
2002,ppd,0.010029576
2002,res,0.007795494
2002,com,0.006409319
2002,amb,0.00854528
2002,fbp,0.007277684
2002,rec,0.023258376
2002,con,0.005366267
2002,agr,0.023008775
2002,eec,0.009890284
2002,pub,0.007392455
2002,hou,0.118933442
2002,fbt,0.013811053
2002,ins,0.007765027
2002,tex,0.008004566
2002,leg,0.003614128
2002,uti,0.052240423
2002,nmp,0.009563244
2002,brd,0.010150419
2002,bnk,0.016136145
2002,ore,0.025981155
2002,edu,0.023717392
2002,ote,0.009065162
2002,man,0.019162749
2002,mch,0.009746921
2002,dat,0.010671961
2002,amd,0.02311908
2002,oil,0.067895676
2002,hos,0.015306885
2002,rnt,0.022703981
2002,pla,0.006644365
2002,fof,0.013759364
2002,fin,0.012170016
2002,tsv,0.006994389
2002,nrs,0.01356272
2002,sec,0.012094009
2002,art,0.016322535
2002,mov,0.023846338
2002,fpd,0.003847222
2002,pri,0.006594688
2002,grd,0.027295376
2002,pip,0.048015191
2002,osv,0.013488803
2002,trn,0.013804528
2002,smn,0.028280496
2002,fmt,0.007750142
2002,pet,0.007528172
2002,mvt,0.010888243
2002,cep,0.01390153
2002,wst,0.022419386
2002,mot,0.00472358
2002,adm,0.004945466
2002,soc,0.006121552
2002,alt,0.005485
2002,pmt,0.012850653
2002,trk,0.009800198
2002,gmt,0.016680736
2002,wtt,0.019340375
2002,wpd,0.005198902
2002,wht,0.009551755
2002,wrh,0.00892677
2002,ott,0.013927778
2002,che,0.013467949
2002,air,0.026847296
2002,mmf,0.008954871
2002,otr,0.013815584
2002,min,0.025645864
2003,ppd,0.010461323
2003,res,0.007458238
2003,com,0.006198842
2003,amb,0.008128861
2003,fbp,0.007094999
2003,rec,0.021912577
2003,con,0.005200405
2003,agr,0.02166742
2003,eec,0.010449438
2003,pub,0.007962162
2003,hou,0.121278691
2003,fbt,0.014237634
2003,ins,0.007194565
2003,tex,0.008398594
2003,leg,0.003269511
2003,uti,0.052657459
2003,nmp,0.009715684
2003,brd,0.009571956
2003,bnk,0.016173514
2003,ore,0.025061557
2003,edu,0.023694155
2003,ote,0.009529676
2003,man,0.018364155
2003,mch,0.009731883
2003,dat,0.011608178
2003,amd,0.023563133
2003,oil,0.053193271
2003,hos,0.015368395
2003,rnt,0.02217599
2003,pla,0.006693166
2003,fof,0.013821633
2003,fin,0.010077144
2003,tsv,0.00704086
2003,nrs,0.013628508
2003,sec,0.010665226
2003,art,0.016073137
2003,mov,0.023666848
2003,fpd,0.003982847
2003,pri,0.007036559
2003,grd,0.026834336
2003,pip,0.05055073
2003,osv,0.013969974
2003,trn,0.013696696
2003,smn,0.024625268
2003,fmt,0.008145276
2003,pet,0.00687425
2003,mvt,0.011507158
2003,cep,0.014179715
2003,wst,0.021697625
2003,mot,0.004904301
2003,adm,0.004817335
2003,soc,0.005924864
2003,alt,0.006145761
2003,pmt,0.013037895
2003,trk,0.009841727
2003,gmt,0.015547398
2003,wtt,0.016992689
2003,wpd,0.005145557
2003,wht,0.009360847
2003,wrh,0.00820506
2003,ott,0.013830542
2003,che,0.013800265
2003,air,0.024122269
2003,mmf,0.009121193
2003,otr,0.013434679
2003,min,0.024331075
2004,ppd,0.010363
2004,res,0.00766573
2004,com,0.006376971
2004,amb,0.008657966
2004,fbp,0.007332101
2004,rec,0.023477487
2004,con,0.005337731
2004,agr,0.019429288
2004,eec,0.009609375
2004,pub,0.007831662
2004,hou,0.121481481
2004,fbt,0.015035127
2004,ins,0.007904803
2004,tex,0.008334804
2004,leg,0.003714739
2004,uti,0.056785467
2004,nmp,0.009776891
2004,brd,0.009377807
2004,bnk,0.017599931
2004,ore,0.022894763
2004,edu,0.024951465
2004,ote,0.009858932
2004,man,0.018138429
2004,mch,0.009605898
2004,dat,0.011163701
2004,amd,0.023127855
2004,oil,0.055397996
2004,hos,0.01606397
2004,rnt,0.022373614
2004,pla,0.006774741
2004,fof,0.014103872
2004,fin,0.00730742
2004,tsv,0.007129129
2004,nrs,0.014408059
2004,sec,0.010093314
2004,art,0.016404226
2004,mov,0.024558126
2004,fpd,0.004208754
2004,pri,0.007585296
2004,grd,0.022999579
2004,pip,0.059521223
2004,osv,0.014741785
2004,trn,0.014067695
2004,smn,0.019065939
2004,fmt,0.008247924
2004,pet,0.005631019
2004,mvt,0.012654377
2004,cep,0.014166171
2004,wst,0.022584589
2004,mot,0.005000927
2004,adm,0.005009771
2004,soc,0.006363794
2004,alt,0.007425553
2004,pmt,0.010271172
2004,trk,0.010176297
2004,gmt,0.015828782
2004,wtt,0.014556646
2004,wpd,0.004880351
2004,wht,0.009366084
2004,wrh,0.00842012
2004,ott,0.014335875
2004,che,0.013450025
2004,air,0.023561494
2004,mmf,0.009455029
2004,otr,0.012866399
2004,min,0.022191994
2005,ppd,0.010116956
2005,res,0.007547525
2005,com,0.006063269
2005,amb,0.009038612
2005,fbp,0.007843362
2005,rec,0.02400685
2005,con,0.005295622
2005,agr,0.019594473
2005,eec,0.010543554
2005,pub,0.007698229
2005,hou,0.121736266
2005,fbt,0.015367612
2005,ins,0.007844692
2005,tex,0.008221206
2005,leg,0.003967316
2005,uti,0.04993594
2005,nmp,0.009390086
2005,brd,0.008589319
2005,bnk,0.017965468
2005,ore,0.021049126
2005,edu,0.025566737
2005,ote,0.008998509
2005,man,0.017404125
2005,mch,0.008962615
2005,dat,0.0110993
2005,amd,0.022729205
2005,oil,0.05654124
2005,hos,0.016359001
2005,rnt,0.022211639
2005,pla,0.006559763
2005,fof,0.015123037
2005,fin,0.007655318
2005,tsv,0.007182302
2005,nrs,0.014795633
2005,sec,0.009212343
2005,art,0.016466013
2005,mov,0.025832141
2005,fpd,0.004271273
2005,pri,0.007905738
2005,grd,0.02092935
2005,pip,0.064692982
2005,osv,0.015848123
2005,trn,0.012818816
2005,smn,0.015578647
2005,fmt,0.007770089
2005,pet,0.004280055
2005,mvt,0.01436823
2005,cep,0.014557294
2005,wst,0.022390466
2005,mot,0.005073897
2005,adm,0.004923153
2005,soc,0.006485641
2005,alt,0.00756805
2005,pmt,0.009502496
2005,trk,0.01097267
2005,gmt,0.016644412
2005,wtt,0.014132617
2005,wpd,0.004901448
2005,wht,0.009784625
2005,wrh,0.008434052
2005,ott,0.014779811
2005,che,0.012811311
2005,air,0.02213618
2005,mmf,0.009036571
2005,otr,0.01228981
2005,min,0.019000317
2006,ppd,0.009915862
2006,res,0.007185629
2006,com,0.005809198
2006,amb,0.008865531
2006,fbp,0.008158923
2006,rec,0.024512848
2006,con,0.005079018
2006,agr,0.021914157
2006,eec,0.008912717
2006,pub,0.007709516
2006,hou,0.122006024
2006,fbt,0.015424528
2006,ins,0.007667489
2006,tex,0.008890191
2006,leg,0.003772721
2006,uti,0.05316573
2006,nmp,0.008919478
2006,brd,0.007403466
2006,bnk,0.01824022
2006,ore,0.022234618
2006,edu,0.025390506
2006,ote,0.009218034
2006,man,0.017086338
2006,mch,0.008580597
2006,dat,0.010842137
2006,amd,0.023187755
2006,oil,0.063473155
2006,hos,0.016421021
2006,rnt,0.023491263
2006,pla,0.006330746
2006,fof,0.016240272
2006,fin,0.007894038
2006,tsv,0.006894342
2006,nrs,0.015066751
2006,sec,0.007691203
2006,art,0.015655123
2006,mov,0.026755578
2006,fpd,0.004317929
2006,pri,0.007865481
2006,grd,0.018111562
2006,pip,0.063690058
2006,osv,0.015933431
2006,trn,0.011630259
2006,smn,0.012915473
2006,fmt,0.007237834
2006,pet,0.003864853
2006,mvt,0.015150266
2006,cep,0.014355674
2006,wst,0.021689609
2006,mot,0.005153667
2006,adm,0.004753728
2006,soc,0.006400478
2006,alt,0.007756883
2006,pmt,0.008416181
2006,trk,0.011152075
2006,gmt,0.017241829
2006,wtt,0.013054526
2006,wpd,0.005158244
2006,wht,0.009319228
2006,wrh,0.007926819
2006,ott,0.014788245
2006,che,0.012472601
2006,air,0.020512164
2006,mmf,0.008831252
2006,otr,0.011558818
2006,min,0.017155118
2007,ppd,0.009915748
2007,res,0.007287464
2007,com,0.005498538
2007,amb,0.008791224
2007,fbp,0.007547877
2007,rec,0.027895313
2007,con,0.005105882
2007,agr,0.021536113
2007,eec,0.008303753
2007,pub,0.008136111
2007,hou,0.125538445
2007,fbt,0.015980421
2007,ins,0.007352386
2007,tex,0.010130201
2007,leg,0.003758187
2007,uti,0.054782446
2007,nmp,0.009405586
2007,brd,0.006894269
2007,bnk,0.018938238
2007,ore,0.023505015
2007,edu,0.024717559
2007,ote,0.008144714
2007,man,0.015861493
2007,mch,0.008515601
2007,dat,0.010809525
2007,amd,0.024610794
2007,oil,0.063439134
2007,hos,0.016821068
2007,rnt,0.024184707
2007,pla,0.007036751
2007,fof,0.01838736
2007,fin,0.008028827
2007,tsv,0.006857641
2007,nrs,0.01541472
2007,sec,0.008020765
2007,art,0.015558641
2007,mov,0.027943177
2007,fpd,0.004496193
2007,pri,0.008041311
2007,grd,0.017931004
2007,pip,0.066259435
2007,osv,0.016385894
2007,trn,0.012020087
2007,smn,0.013501293
2007,fmt,0.007317524
2007,pet,0.003845323
2007,mvt,0.015827
2007,cep,0.014940562
2007,wst,0.021682334
2007,mot,0.005499914
2007,adm,0.004648531
2007,soc,0.006429904
2007,alt,0.01038874
2007,pmt,0.008187176
2007,trk,0.010920134
2007,gmt,0.016873561
2007,wtt,0.012148284
2007,wpd,0.006001144
2007,wht,0.009035109
2007,wrh,0.007669445
2007,ott,0.015181332
2007,che,0.012588619
2007,air,0.020388922
2007,mmf,0.009296449
2007,otr,0.011051061
2007,min,0.01833736
2008,ppd,0.009683601
2008,res,0.007112267
2008,com,0.00498589
2008,amb,0.008511261
2008,fbp,0.006708021
2008,rec,0.027651148
2008,con,0.005035481
2008,agr,0.021010996
2008,eec,0.008191234
2008,pub,0.008167022
2008,hou,0.124358763
2008,fbt,0.015789029
2008,ins,0.007328554
2008,tex,0.011454166
2008,leg,0.003718223
2008,uti,0.048850957
2008,nmp,0.010795962
2008,brd,0.006343855
2008,bnk,0.01986367
2008,ore,0.026317112
2008,edu,0.024680778
2008,ote,0.008088919
2008,man,0.019183952
2008,mch,0.008472683
2008,dat,0.008967208
2008,amd,0.025104946
2008,oil,0.046600072
2008,hos,0.015998774
2008,rnt,0.022145065
2008,pla,0.007050517
2008,fof,0.018998705
2008,fin,0.007706282
2008,tsv,0.006634014
2008,nrs,0.014991995
2008,sec,0.009934878
2008,art,0.015213926
2008,mov,0.026708886
2008,fpd,0.004925148
2008,pri,0.008319266
2008,grd,0.017767573
2008,pip,0.064096401
2008,osv,0.016089721
2008,trn,0.011066022
2008,smn,0.013122855
2008,fmt,0.007076147
2008,pet,0.003375549
2008,mvt,0.019046639
2008,cep,0.015997996
2008,wst,0.021010907
2008,mot,0.006542206
2008,adm,0.004465546
2008,soc,0.005956
2008,alt,0.011428357
2008,pmt,0.007872292
2008,trk,0.010706328
2008,gmt,0.017047404
2008,wtt,0.011125803
2008,wpd,0.006967232
2008,wht,0.008696861
2008,wrh,0.007301645
2008,ott,0.016339864
2008,che,0.013013641
2008,air,0.019538469
2008,mmf,0.00871587
2008,otr,0.010885907
2008,min,0.016993337
2009,ppd,0.011125193
2009,res,0.007447415
2009,com,0.005305078
2009,amb,0.008632274
2009,fbp,0.007370827
2009,rec,0.028271061
2009,con,0.005645781
2009,agr,0.023498889
2009,eec,0.010549118
2009,pub,0.009753365
2009,hou,0.127531657
2009,fbt,0.016778099
2009,ins,0.008854595
2009,tex,0.014462989
2009,leg,0.00390108
2009,uti,0.06373199
