yr,i,Value
2016,fen,73.22476349
2016,uti,615.7221633
2016,nmp,204.1954907
2016,brd,703.7946619
2016,bnk,720.9658982
2016,ore,1220.663518
2016,edu,378.9785499
2016,ote,251.0659538
2016,man,545.5310075
2016,mch,549.1419788
2016,dat,222.7945807
2016,amd,217.9864251
2016,oil,341.2064951
2016,hos,1043.747722
2016,rnt,363.5245802
2016,pla,358.1541274
2016,fof,84.52738026
2016,fin,181.7206013
2016,tsv,1909.376077
2016,nrs,241.2470944
2016,sec,515.0763601
2016,art,163.7307945
2016,mov,146.7561769
2016,fpd,210.0739863
2016,slg,1703.296376
2016,pri,90.38702389
2016,grd,89.26361151
2016,pip,0.35435982
2016,sle,101.409134
2016,osv,841.1592134
2016,trn,7.5509841
2016,smn,83.99483478
2016,fmt,463.3313589
2016,pet,645.2202748
2016,cep,724.7419464
2016,wst,109.5063659
2016,mot,1130.774862
2016,adm,851.2191365
2016,soc,198.3637932
2016,alt,422.9414055
2016,pmt,273.7633498
2016,trk,33.589707
2016,fdd,586.2518001
2016,wtt,23.4067628
2016,wpd,159.912316
2016,wht,95.92821351
2016,wrh,129.9546011
2016,ott,6.494654769
2016,che,1246.57291
2016,air,192.7099468
2016,mmf,419.8136485
2016,otr,225.8049055
2016,min,98.44164687
2015,ppd,237.999005
2015,res,866.2312787
2015,com,461.7617659
2015,amb,985.1948687
2015,fbp,1478.236848
2015,rec,187.1403639
2015,con,1468.026588
2015,agr,524.8094529
2015,eec,286.1995117
2015,fnd,368.9151255
2015,pub,288.8974992
2015,hou,1936.121518
2015,ins,1054.437084
2015,tex,145.8550092
2015,leg,321.8705995
2015,fen,73.26878565
2015,uti,652.7406875
2015,nmp,194.439428
2015,brd,674.9009538
2015,bnk,686.6379748
2015,ore,1125.226501
2015,edu,366.5080639
2015,ote,271.6077509
2015,man,541.7217394
2015,mch,574.2469723
2015,dat,203.8052637
2015,amd,210.2312731
2015,oil,407.2114065
2015,hos,984.5175324
2015,rnt,359.4528789
2015,pla,358.0026989
2015,fof,84.82436309
2015,fin,188.234639
2015,tsv,1818.588744
2015,nrs,231.4979542
2015,sec,502.796158
2015,art,156.4095413
2015,mov,139.5390809
2015,fpd,206.306687
2015,slg,1660.507413
2015,pri,86.58343819
2015,grd,82.43037885
2015,pip,0.349270273
2015,sle,96.53186553
2015,osv,805.4682084
2015,trn,7.893042915
2015,smn,152.3532558
2015,fmt,474.5061818
2015,pet,730.3182163
2015,cep,739.3607044
2015,wst,104.3503032
2015,mot,1099.030912
2015,adm,799.4249105
2015,soc,188.4524329
2015,alt,426.1209652
2015,pmt,308.8386251
2015,trk,33.75163695
2015,fdd,585.4308581
2015,wtt,22.43767232
2015,wpd,151.243702
2015,wht,94.43834211
2015,wrh,123.596932
2015,ott,5.769049611
2015,che,1242.720178
2015,air,190.1246822
2015,mmf,413.523219
2015,otr,220.7763402
2015,min,111.4677952
2014,ppd,239.4040499
2014,res,804.2305427
2014,com,457.5766146
2014,amb,934.8772562
2014,fbp,1451.544682
2014,rec,180.6101981
2014,con,1346.231007
2014,agr,549.0711619
2014,eec,278.8946656
2014,fnd,352.4582244
2014,pub,277.2588792
2014,hou,1824.732044
2014,ins,980.1302683
2014,tex,144.1791336
2014,leg,308.3391042
2014,fen,72.87643299
2014,uti,675.2859947
2014,nmp,181.7932104
2014,brd,656.2021814
2014,bnk,686.183611
2014,ore,1058.769419
2014,edu,354.8920294
2014,ote,263.6055623
2014,man,512.7416599
2014,mch,592.1491144
2014,dat,187.3382314
2014,amd,198.3401519
2014,oil,698.0192159
2014,hos,923.066872
2014,rnt,353.294183
2014,pla,351.1336676
2014,fof,88.12396084
2014,fin,168.0820556
2014,tsv,1741.486788
2014,nrs,221.5437901
2014,sec,488.8895353
2014,art,147.0665789
2014,mov,132.5326226
2014,fpd,192.0391687
2014,slg,1614.668553
2014,pri,85.80920095
2014,grd,78.00933245
2014,pip,0.326375374
2014,sle,92.291984
2014,osv,779.4498377
2014,trn,8.336855475
2014,smn,210.2461654
2014,fmt,476.8641949
2014,pet,997.7412284
2014,cep,717.1227558
2014,wst,103.9145493
2014,mot,1009.422255
2014,adm,750.5344303
2014,soc,181.3731023
2014,alt,410.8516562
2014,pmt,355.6115854
2014,trk,33.29947104
2014,fdd,596.4653526
