yr,i,j,Value
1997,res,fbp,0.68885554
1997,res,rec,0.358033102
1997,res,con,0.248919078
1997,res,agr,0.221634192
1997,res,eec,0.076978305
1997,res,fnd,0.041259581
1997,res,pub,0.334516954
1997,res,hou,2.82668969
1997,res,fbt,0.436435382
1997,res,ins,1.311056133
1997,res,tex,0.086261273
1997,res,leg,1.736735835
1997,res,fen,0.342081336
1997,res,uti,1.684397897
1997,res,nmp,0.096788781
1997,res,brd,0.458157486
1997,res,bnk,3.186013809
1997,res,ore,6.249401566
1997,res,edu,0.423347269
1997,res,ote,0.033998671
1997,res,man,1.890621507
1997,res,mch,0.3740676
1997,res,dat,0.316107415
1997,res,amd,5.93438747
1997,res,oil,0.01792932
1997,res,hos,1.376176884
1997,res,rnt,0.940261837
1997,res,pla,0.339313304
1997,res,fof,0.042764353
1997,res,fin,0.338605577
1997,res,tsv,7.748288474
1997,res,nrs,2.130692245
1997,res,sec,0.686950753
1997,res,art,0.213467936
1997,res,mov,0.382101157
1997,res,fpd,0.057630195
1997,res,slg,4.266020741
1997,res,pri,0.33618621
1997,res,grd,0.029964273
1997,res,pip,0.023510088
1997,res,sle,0.280639398
1997,res,osv,1.023485239
1997,res,trn,0.004874113
1997,res,smn,0.091932898
1997,res,fmt,0.280387663
1997,res,pet,0.131083874
1997,res,mvt,0.407285648
1997,res,cep,1.107758947
1997,res,wst,0.16321533
1997,res,mot,0.194304831
1997,res,adm,5.412597534
1997,res,soc,0.265465687
1997,res,alt,0.14244625
1997,res,pmt,0.120393718
1997,res,trk,0.438633471
1997,res,fdd,0.104282036
1997,res,gmt,0.133406177
1997,res,wtt,0.020735405
1997,res,wpd,0.152049545
1997,res,wht,1.680158835
1997,res,wrh,0.008968448
1997,res,ott,1.3519845
1997,res,che,0.429766724
1997,res,air,5.749315826
1997,res,mmf,0.139176252
1997,res,otr,0.393383594
1997,res,min,0.01886317
1997,com,ppd,0.149151069
1997,com,res,0.61455307
1997,com,com,1.727570017
1997,com,amb,1.172180974
1997,com,fbp,0.686395314
1997,com,rec,0.221487825
1997,com,con,1.342040036
1997,com,agr,0.100312072
1997,com,eec,0.040960305
1997,com,fnd,3.630377205
1997,com,pub,2.433808772
1997,com,hou,0.223742441
1997,com,fbt,0.217079254
1997,com,ins,0.627075063
1997,com,tex,0.105027172
1997,com,leg,1.193686428
1997,com,fen,0.108268338
1997,com,uti,0.442537588
1997,com,nmp,0.085753696
1997,com,brd,1.573534833
1997,com,bnk,2.909243528
1997,com,ore,0.509335787
1997,com,edu,0.221553847
1997,com,ote,0.141896952
1997,com,man,3.504314434
1997,com,mch,1.152332134
1997,com,dat,0.512445674
1997,com,amd,0.157034884
1997,com,oil,0.544476454
1997,com,hos,1.070066728
1997,com,rnt,0.164932692
1997,com,pla,0.279417179
1997,com,fof,0.036771835
1997,com,fin,0.243990914
1997,com,tsv,3.422314932
1997,com,nrs,0.263533139
1997,com,sec,1.50227734
1997,com,art,0.072108751
1997,com,mov,0.364846085
1997,com,fpd,0.082413815
1997,com,slg,4.354741027
1997,com,pri,0.535334601
1997,com,grd,0.021958698
1997,com,pip,0.012257897
1997,com,sle,0.649717675
1997,com,osv,0.729131893
1997,com,trn,0.620523422
1997,com,smn,0.00403827
1997,com,fmt,0.480335047
1997,com,pet,0.382063661
1997,com,mvt,1.067517691
1997,com,cep,2.978534837
1997,com,wst,0.073346439
1997,com,mot,0.234000906
1997,com,adm,2.415395201
1997,com,soc,0.126657713
1997,com,alt,0.114668736
1997,com,pmt,0.111488146
1997,com,trk,0.099575001
1997,com,fdd,5.949279775
1997,com,gmt,0.22021415
1997,com,wtt,0.001036115
1997,com,wpd,0.138041092
1997,com,wht,1.92817237
1997,com,wrh,0.013941304
1997,com,ott,1.025372854
1997,com,che,0.612392634
1997,com,air,0.08536912
1997,com,mmf,0.171863319
1997,com,otr,0.030085297
1997,com,min,0.087305829
1997,amb,amb,9.669132744
1997,amb,rec,0.004017251
1997,amb,fnd,0.16224733
1997,amb,hos,5.1307605
1997,amb,tsv,0.073181562
1997,amb,nrs,0.143047808
1997,amb,art,0.263950248
1997,amb,slg,4.216171346
1997,amb,osv,0.214195498
1997,amb,adm,0.139315028
1997,fbp,ppd,0.903672562
1997,fbp,res,37.37545752
1997,fbp,amb,0.012077184
1997,fbp,fbp,118.6897586
1997,fbp,rec,3.555821033
1997,fbp,agr,22.45125029
1997,fbp,pub,0.119797581
1997,fbp,fbt,1.935358212
1997,fbp,tex,0.048983007
1997,fbp,fen,1.013337973
1997,fbp,nmp,0.214270913
1997,fbp,edu,6.39670557
1997,fbp,man,0.011110703
1997,fbp,dat,0.001011696
1997,fbp,amd,3.823301576
1997,fbp,hos,2.921705838
1997,fbp,pla,0.096307006
1997,fbp,fof,0.442174834
1997,fbp,tsv,0.869943447
1997,fbp,nrs,3.94164201
1997,fbp,art,0.260668017
1997,fbp,mov,0.043361595
1997,fbp,slg,35.11154348
1997,fbp,pri,0.593380383
1997,fbp,osv,1.706944828
1997,fbp,trn,0.000983005
1997,fbp,pet,0.085102336
1997,fbp,mvt,0.003996439
1997,fbp,soc,3.4792168
1997,fbp,alt,1.280602948
1997,fbp,pmt,0.005563375
1997,fbp,trk,0.005910346
1997,fbp,fdd,1.369557281
1997,fbp,gmt,0.388571881
1997,fbp,wtt,0.207937957
1997,fbp,wpd,0.010019327
1997,fbp,wht,1.482488742
1997,fbp,ott,0.878220743
1997,fbp,che,2.196514479
1997,fbp,air,0.419439212
1997,fbp,mmf,0.004009053
1997,fbp,otr,0.023268503
1997,rec,ppd,0.009202208
1997,rec,res,0.102016078
1997,rec,com,0.068121992
1997,rec,amb,0.085869726
1997,rec,fbp,0.026805201
1997,rec,rec,0.004012378
1997,rec,con,0.040156156
1997,rec,agr,0.01093481
1997,rec,eec,0.000999954
1997,rec,fnd,0.01509794
1997,rec,pub,0.023970146
1997,rec,hou,0.000999773
1997,rec,fbt,0.017776952
1997,rec,ins,0.022022094
1997,rec,tex,0.000991746
1997,rec,leg,0.059036684
1997,rec,uti,0.014997613
1997,rec,nmp,0.004990111
1997,rec,brd,0.024385638
1997,rec,bnk,0.134406697
1997,rec,ore,0.137211533
1997,rec,edu,0.01304408
1997,rec,ote,0.002000339
1997,rec,man,0.108228641
1997,rec,mch,0.014965677
1997,rec,dat,0.01907056
1997,rec,amd,0.039043158
1997,rec,hos,0.002994467
1997,rec,rnt,0.019009056
1997,rec,pla,0.016919281
1997,rec,fin,0.010049627
1997,rec,tsv,0.144182694
1997,rec,nrs,0.009991165
1997,rec,sec,0.038000116
1997,rec,art,0.027064661
1997,rec,mov,0.013006019
1997,rec,fpd,0.003975299
1997,rec,slg,0.27621459
1997,rec,pri,0.009977836
1997,rec,sle,0.121867577
1997,rec,osv,0.011996347
1997,rec,smn,0.002020919
1997,rec,fmt,0.017026905
1997,rec,pet,0.003973042
1997,rec,mvt,0.002973497
1997,rec,cep,0.015942148
1997,rec,wst,0.009659696
1997,rec,mot,0.010962967
1997,rec,adm,0.142148813
1997,rec,soc,0.008983708
1997,rec,alt,0.000989447
1997,rec,pmt,0.005523643
1997,rec,fdd,1.294574499
1997,rec,wpd,0.006957907
1997,rec,wht,0.078185566
1997,rec,ott,0.09285026
1997,rec,che,0.020895597
1997,rec,mmf,0.007954518
1997,rec,otr,0.001003765
1997,con,ppd,1.055798199
1997,con,res,1.079741371
1997,con,com,0.032044704
1997,con,amb,0.401231407
1997,con,fbp,1.75454196
1997,con,rec,0.4080967
1997,con,con,0.189662769
1997,con,agr,0.821770088
1997,con,eec,0.245881665
1997,con,fnd,2.246692534
1997,con,pub,0.138771879
1997,con,hou,8.50536077
1997,con,fbt,0.360332059
1997,con,ins,0.070042491
1997,con,tex,0.381654196
1997,con,leg,0.197044253
1997,con,fen,0.559658279
1997,con,uti,1.208327098
1997,con,nmp,0.650450328
1997,con,brd,2.142050157
1997,con,bnk,6.143162787
1997,con,ore,12.8046694
1997,con,edu,0.180538802
1997,con,ote,0.294929656
1997,con,man,0.240412788
1997,con,mch,0.847717199
1997,con,dat,0.024079597
1997,con,amd,0.44931853
1997,con,oil,0.266894184
1997,con,hos,0.398103661
1997,con,rnt,0.266021096
1997,con,pla,0.919245489
1997,con,fof,0.05071035
1997,con,fin,0.254154965
1997,con,tsv,0.784683348
1997,con,nrs,0.243687395
1997,con,sec,0.315176323
1997,con,art,0.101201764
1997,con,mov,0.171011213
1997,con,fpd,0.167888783
1997,con,slg,11.44189422
1997,con,pri,0.358061555
1997,con,grd,0.022968027
1997,con,pip,0.264692387
1997,con,sle,13.58383161
1997,con,osv,2.6731223
1997,con,trn,0.406417102
1997,con,smn,0.276754344
1997,con,fmt,1.113318008
1997,con,pet,0.123114691
1997,con,mvt,0.643996209
1997,con,cep,1.784808448
1997,con,wst,0.008690154
1997,con,mot,0.567854392
1997,con,adm,0.267173789
1997,con,soc,0.179602571
1997,con,alt,0.268021929
1997,con,pmt,1.292066399
1997,con,trk,0.243201467
1997,con,fdd,6.187216937
1997,con,gmt,0.361606037
1997,con,wtt,0.042499408
1997,con,wpd,0.520640433
1997,con,wht,0.874535533
1997,con,wrh,0.094647965
1997,con,ott,1.227302909
1997,con,che,2.458728151
1997,con,air,0.05621767
1997,con,mmf,0.398560646
1997,con,otr,0.267889199
1997,con,min,1.405520043
1997,agr,res,0.863141526
1997,agr,fbp,140.5607679
1997,agr,rec,0.16218215
1997,agr,con,1.424288556
1997,agr,agr,32.60393347
1997,agr,fbt,0.578929873
1997,agr,tex,4.760703792
1997,agr,leg,0.004044685
1997,agr,bnk,0.001013618
1997,agr,edu,0.13688152
1997,agr,man,0.007088653
1997,agr,amd,0.016186457
1997,agr,fof,0.669506048
1997,agr,tsv,0.148736874
1997,agr,slg,2.159525406
1997,agr,osv,0.034348229
1997,agr,smn,0.005104989
1997,agr,mvt,0.695184819
1997,agr,adm,0.638316272
1997,agr,gmt,0.033963913
1997,agr,wht,3.095734823
1997,agr,ott,0.253572124
1997,agr,che,6.682045628
1997,agr,mmf,0.344667206
1997,agr,otr,0.040570971
1997,agr,min,0.037131086
1997,eec,ppd,0.356327495
1997,eec,res,0.522376931
1997,eec,com,0.2867691
1997,eec,amb,0.015043483
1997,eec,fbp,0.672111775
1997,eec,rec,0.117878097
1997,eec,con,24.75620377
1997,eec,agr,0.437337103
1997,eec,eec,11.51162412
1997,eec,fnd,0.865366688
1997,eec,pub,0.001003207
1997,eec,fbt,0.043648955
1997,eec,ins,0.009048763
1997,eec,tex,0.152406376
1997,eec,leg,0.002010091
1997,eec,fen,0.00503892
1997,eec,uti,0.001004291
1997,eec,nmp,0.117284745
1997,eec,brd,2.356291784
1997,eec,bnk,0.147087477
1997,eec,ore,0.156929362
1997,eec,edu,0.58251061
1997,eec,ote,2.251245919
1997,eec,man,0.121790185
1997,eec,mch,11.27190022
1997,eec,dat,0.140129634
1997,eec,amd,0.229258541
1997,eec,oil,0.039026692
1997,eec,hos,0.209535883
1997,eec,rnt,0.098479203
1997,eec,pla,1.231587178
1997,eec,fof,0.335708015
1997,eec,tsv,1.533665214
1997,eec,nrs,0.113398816
1997,eec,sec,0.044352073
1997,eec,art,0.015102127
1997,eec,fpd,0.056899412
1997,eec,slg,1.350127144
1997,eec,pri,0.207454664
1997,eec,grd,0.021071828
1997,eec,pip,0.002053596
1997,eec,sle,1.740774008
1997,eec,osv,1.890736395
1997,eec,trn,0.192948074
1997,eec,smn,0.037549929
1997,eec,fmt,2.277574377
1997,eec,pet,0.046890536
1997,eec,mvt,0.186172319
1997,eec,cep,9.153292544
1997,eec,wst,0.150409276
1997,eec,mot,4.425625536
1997,eec,adm,0.891844246
1997,eec,soc,0.107278475
1997,eec,alt,0.202739546
1997,eec,pmt,2.321431583
1997,eec,trk,0.015704377
1997,eec,fdd,0.36149841
1997,eec,gmt,0.536114768
1997,eec,wtt,0.038531112
1997,eec,wpd,1.794123185
1997,eec,wht,0.253496542
1997,eec,wrh,0.104114905
1997,eec,ott,0.271857897
1997,eec,che,0.951468424
1997,eec,air,0.003257768
1997,eec,mmf,0.876882579
1997,eec,otr,0.004032574
1997,eec,min,0.019948192
1997,pub,res,0.117602508
1997,pub,com,0.221492913
1997,pub,amb,0.30104315
1997,pub,fbp,0.01197333
1997,pub,rec,0.040323351
1997,pub,con,0.06557823
1997,pub,agr,0.029971959
1997,pub,eec,0.027132522
1997,pub,fnd,0.103175144
1997,pub,pub,17.66094442
1997,pub,hou,0.007033093
1997,pub,fbt,0.095289623
1997,pub,ins,0.033197874
1997,pub,leg,0.251403429
1997,pub,fen,0.007058533
1997,pub,uti,0.025120817
1997,pub,nmp,0.003009051
1997,pub,brd,0.183790819
1997,pub,bnk,0.274183359
1997,pub,ore,0.192248384
1997,pub,edu,0.246045312
1997,pub,ote,0.005025762
1997,pub,man,0.404857831
1997,pub,mch,0.012032447
1997,pub,dat,0.178540865
1997,pub,amd,0.072439096
1997,pub,oil,0.002002547
1997,pub,hos,0.110345691
1997,pub,rnt,0.408220168
1997,pub,pla,0.009002198
1997,pub,fin,0.039388216
1997,pub,tsv,1.665361464
1997,pub,nrs,0.081332744
1997,pub,sec,0.164091509
1997,pub,art,0.003022174
1997,pub,mov,0.052283646
1997,pub,fpd,0.000998852
1997,pub,slg,5.049867079
1997,pub,pri,0.03108603
1997,pub,sle,0.012046884
1997,pub,osv,0.705290375
1997,pub,trn,0.014700162
1997,pub,fmt,0.019124917
1997,pub,mvt,0.049807629
1997,pub,cep,0.112154109
1997,pub,wst,0.004854815
1997,pub,mot,0.012019504
1997,pub,adm,0.816904462
1997,pub,soc,0.64303911
1997,pub,pmt,0.003329167
1997,pub,trk,0.018659939
1997,pub,fdd,0.132555592
1997,pub,gmt,0.009933843
1997,pub,wpd,0.000999015
1997,pub,wht,0.365048544
1997,pub,wrh,0.005008426
1997,pub,ott,0.2829368
1997,pub,che,0.061001237
1997,pub,air,0.018470471
1997,pub,mmf,0.016988205
1997,pub,otr,0.057497011
1997,ins,ppd,0.18707877
1997,ins,res,1.265973397
1997,ins,com,0.491793129
1997,ins,amb,5.033461533
1997,ins,fbp,1.160356934
1997,ins,rec,0.455322526
1997,ins,con,0.140521525
1997,ins,agr,1.63396256
1997,ins,eec,0.410892079
1997,ins,fnd,8.444285857
1997,ins,pub,0.36747644
1997,ins,hou,5.747446292
1997,ins,fbt,0.417682712
1997,ins,ins,83.0174677
1997,ins,tex,0.414458728
1997,ins,leg,1.688747919
1997,ins,fen,0.085271178
1997,ins,uti,0.16894286
1997,ins,nmp,0.368203573
1997,ins,brd,0.305782731
1997,ins,bnk,2.860146508
1997,ins,ore,11.4205724
1997,ins,edu,0.346108069
1997,ins,ote,0.169996602
1997,ins,man,0.081157014
1997,ins,mch,0.745157009
1997,ins,amd,0.421390637
1997,ins,oil,0.746073113
1997,ins,hos,7.31214078
1997,ins,rnt,1.466436518
1997,ins,pla,0.318423324
1997,ins,fof,0.433618987
1997,ins,fin,3.792053042
1997,ins,tsv,2.717959552
1997,ins,nrs,1.651243328
1997,ins,sec,2.937821934
1997,ins,art,0.550216632
1997,ins,mov,0.93126442
1997,ins,fpd,0.134141834
1997,ins,slg,0.63308609
1997,ins,pri,0.066839499
1997,ins,grd,0.29765079
1997,ins,pip,0.183995422
1997,ins,sle,1.037686627
1997,ins,osv,0.887570666
1997,ins,trn,0.011698083
1997,ins,smn,0.166694684
1997,ins,fmt,0.326457613
1997,ins,pet,0.160878775
1997,ins,mvt,1.110890659
1997,ins,cep,3.023483131
1997,ins,wst,0.359274022
1997,ins,mot,0.980510965
1997,ins,adm,2.22493256
1997,ins,soc,0.519963477
1997,ins,alt,0.952627778
1997,ins,pmt,0.17341415
1997,ins,trk,3.349896981
1997,ins,gmt,0.268793963
1997,ins,wtt,0.457224076
1997,ins,wpd,0.08944264
1997,ins,wht,4.785280259
1997,ins,wrh,0.058794259
1997,ins,ott,1.795438741
1997,ins,che,2.143900861
1997,ins,air,1.527915667
1997,ins,mmf,0.273387203
1997,ins,otr,0.368302406
1997,ins,min,0.306780565
1997,tex,ppd,1.543905153
1997,tex,res,0.412244471
1997,tex,amb,0.041357961
1997,tex,fbp,0.195590964
1997,tex,rec,0.229014204
1997,tex,con,4.00386139
1997,tex,agr,0.297278315
1997,tex,eec,0.001010198
1997,tex,fnd,0.207421997
1997,tex,pub,0.028252044
1997,tex,fbt,0.171630839
1997,tex,tex,22.39262928
1997,tex,nmp,0.240975524
1997,tex,brd,0.012315768
1997,tex,ore,0.037436217
1997,tex,edu,0.039531805
1997,tex,ote,0.684043592
1997,tex,man,0.002024745
1997,tex,mch,0.516073952
1997,tex,dat,0.007097719
1997,tex,amd,1.753684373
1997,tex,hos,0.397308072
1997,tex,rnt,0.157672617
1997,tex,pla,2.186955996
1997,tex,fof,0.199987656
1997,tex,tsv,0.149704104
1997,tex,nrs,2.261978918
1997,tex,mov,0.082878071
1997,tex,fpd,2.961998602
1997,tex,slg,2.527591922
1997,tex,pri,0.666306857
1997,tex,pip,0.001032653
1997,tex,sle,0.015137406
1997,tex,osv,0.665550883
1997,tex,pet,0.017059555
1997,tex,mvt,0.061085769
1997,tex,cep,0.017112705
1997,tex,wst,0.041977228
1997,tex,mot,6.684665417
1997,tex,adm,0.09506159
1997,tex,soc,0.393289509
1997,tex,alt,24.75841542
1997,tex,trk,0.020734466
1997,tex,fdd,0.462701662
1997,tex,gmt,0.075896432
1997,tex,wtt,0.258661714
1997,tex,wpd,0.997201576
1997,tex,wht,1.176924877
1997,tex,wrh,0.001006973
1997,tex,ott,1.93514952
1997,tex,che,0.005026378
1997,tex,mmf,3.50289864
1997,tex,otr,0.040558921
1997,tex,min,0.003009739
1997,leg,ppd,0.240215259
1997,leg,res,1.235855661
1997,leg,com,2.649019249
1997,leg,amb,2.880836272
1997,leg,fbp,0.824776375
1997,leg,rec,0.69094111
1997,leg,con,3.743537649
1997,leg,agr,0.184846567
1997,leg,eec,0.166940158
1997,leg,fnd,0.098612953
1997,leg,pub,1.888128542
1997,leg,hou,1.563155615
1997,leg,fbt,0.166859416
1997,leg,ins,7.173230158
1997,leg,tex,0.15466344
1997,leg,leg,1.442500827
1997,leg,fen,0.692135217
1997,leg,uti,2.1740563
1997,leg,nmp,0.163630329
1997,leg,brd,2.571989651
1997,leg,bnk,2.954132886
1997,leg,ore,7.363336898
1997,leg,edu,0.189588931
1997,leg,ote,1.60681396
1997,leg,man,3.227936965
1997,leg,mch,0.848818924
1997,leg,dat,0.4214444
1997,leg,amd,0.711591632
1997,leg,oil,0.447202433
1997,leg,hos,3.294987298
1997,leg,rnt,0.28505757
1997,leg,pla,0.492513674
1997,leg,fof,0.125299845
1997,leg,fin,1.324178474
1997,leg,tsv,5.266231057
1997,leg,nrs,0.496424235
1997,leg,sec,2.515551371
1997,leg,art,0.508075003
1997,leg,mov,0.905170367
1997,leg,fpd,0.143070833
1997,leg,slg,3.9775919
1997,leg,pri,0.262344773
1997,leg,grd,0.040948032
1997,leg,pip,0.354669053
1997,leg,sle,0.314571652
1997,leg,osv,1.563094052
1997,leg,trn,0.520513317
1997,leg,smn,0.241431835
1997,leg,fmt,0.484633049
1997,leg,pet,0.167814143
1997,leg,mvt,0.392390893
1997,leg,cep,1.120623244
1997,leg,wst,0.213418511
1997,leg,mot,1.531402963
1997,leg,adm,2.610017502
1997,leg,soc,0.169645509
1997,leg,alt,0.142435226
1997,leg,pmt,0.185548097
1997,leg,trk,0.07521633
1997,leg,fdd,0.512170455
1997,leg,gmt,0.449593384
1997,leg,wtt,0.047687905
1997,leg,wpd,0.232528447
1997,leg,wht,4.069469165
1997,leg,wrh,0.021921179
1997,leg,ott,1.538516121
1997,leg,che,1.354854706
1997,leg,air,0.311394722
1997,leg,mmf,0.581513115
1997,leg,otr,0.202697512
1997,leg,min,0.448710161
1997,fen,res,3.700511062
1997,fen,com,0.323573155
1997,fen,amb,1.113289223
1997,fen,rec,0.130399387
1997,fen,con,0.007027196
1997,fen,agr,0.019881077
1997,fen,eec,0.548943208
1997,fen,fnd,0.94209289
1997,fen,pub,1.829685117
1997,fen,fbt,0.594528407
1997,fen,ins,0.145142763
1997,fen,tex,0.00595013
1997,fen,leg,0.647389636
1997,fen,fen,0.006020104
1997,fen,uti,0.28294935
1997,fen,brd,0.288557806
1997,fen,bnk,2.149462341
1997,fen,ore,0.303461937
1997,fen,edu,0.413388823
1997,fen,man,0.171358681
1997,fen,mch,0.81411663
1997,fen,dat,0.404488662
1997,fen,amd,0.823894614
1997,fen,hos,0.914288116
1997,fen,rnt,0.659301098
1997,fen,fof,0.01293108
1997,fen,tsv,2.550181745
1997,fen,nrs,0.282744289
1997,fen,sec,2.841738236
1997,fen,art,0.176418041
1997,fen,mov,0.799354081
1997,fen,slg,2.385171091
1997,fen,pri,0.156648878
1997,fen,grd,0.203793408
1997,fen,pip,0.475395502
1997,fen,sle,0.094895034
1997,fen,osv,1.52250602
1997,fen,fmt,0.056087524
1997,fen,pet,0.102303515
1997,fen,mvt,1.055565158
1997,fen,cep,0.251083844
1997,fen,wst,0.146824329
1997,fen,adm,1.466506733
1997,fen,soc,0.236566208
1997,fen,pmt,0.029827115
1997,fen,trk,2.443702861
1997,fen,gmt,0.323197721
1997,fen,wtt,2.200404554
1997,fen,wht,10.58651267
1997,fen,wrh,0.069767039
1997,fen,ott,3.567750128
1997,fen,che,0.326362864
1997,fen,air,0.007570411
1997,fen,mmf,0.03281172
1997,fen,otr,0.714640042
1997,fen,min,0.011915723
1997,uti,ppd,3.465639917
1997,uti,res,9.432186647
1997,uti,com,0.39853259
1997,uti,amb,1.20861356
1997,uti,fbp,4.983477621
1997,uti,rec,1.035722866
1997,uti,con,2.682216486
1997,uti,agr,2.700651909
1997,uti,eec,0.670637826
1997,uti,fnd,0.257554739
1997,uti,pub,0.581010665
1997,uti,hou,0.007994236
1997,uti,fbt,4.185526203
1997,uti,ins,0.168092109
1997,uti,tex,1.439296287
1997,uti,leg,0.349057905
1997,uti,fen,0.594727477
1997,uti,uti,11.02920968
1997,uti,nmp,2.25748844
1997,uti,brd,1.637167025
1997,uti,bnk,1.025638574
1997,uti,ore,30.64331079
1997,uti,edu,2.128227264
1997,uti,ote,0.72778366
1997,uti,man,2.839709588
1997,uti,mch,1.842928423
1997,uti,dat,0.252820927
1997,uti,amd,2.471607247
1997,uti,oil,0.958969946
1997,uti,hos,1.462620611
1997,uti,rnt,0.985020284
1997,uti,pla,3.00129867
1997,uti,fof,0.167035983
1997,uti,fin,1.24257437
1997,uti,tsv,1.618314469
1997,uti,nrs,0.893800803
1997,uti,sec,0.709362814
1997,uti,art,0.272527387
1997,uti,mov,0.840005752
1997,uti,fpd,0.506616675
1997,uti,slg,9.051112587
1997,uti,pri,0.789883168
1997,uti,grd,0.0469319
1997,uti,pip,4.465788693
1997,uti,sle,0.761824032
1997,uti,osv,1.507852173
1997,uti,trn,0.089659766
1997,uti,smn,0.01817989
1997,uti,fmt,3.016394288
1997,uti,pet,1.067261802
1997,uti,mvt,2.64914433
1997,uti,cep,3.723775338
1997,uti,wst,0.584135492
1997,uti,mot,1.823004025
1997,uti,adm,1.80907066
1997,uti,soc,0.26539707
1997,uti,alt,1.070046164
1997,uti,pmt,4.897444302
1997,uti,trk,0.264673236
1997,uti,fdd,0.701170831
1997,uti,gmt,2.73559457
1997,uti,wtt,2.208807319
1997,uti,wpd,1.165410572
1997,uti,wht,4.616759177
1997,uti,wrh,0.73123695
1997,uti,ott,7.078046162
1997,uti,che,9.427551955
1997,uti,air,0.038917813
1997,uti,mmf,0.785147907
1997,uti,otr,0.550796119
1997,uti,min,2.004931183
1997,nmp,ppd,0.264089627
1997,nmp,res,1.520983687
1997,nmp,com,0.026179744
1997,nmp,amb,2.699695491
1997,nmp,fbp,4.730065831
1997,nmp,rec,0.101829293
1997,nmp,con,49.95672386
1997,nmp,agr,0.01099112
1997,nmp,eec,3.186966472
1997,nmp,fnd,0.28831971
1997,nmp,pub,0.018069755
1997,nmp,fbt,0.063534552
1997,nmp,ins,0.006036747
1997,nmp,tex,1.187219521
1997,nmp,leg,0.001005778
1997,nmp,uti,0.01406944
1997,nmp,nmp,15.38213953
1997,nmp,brd,1.050801636
1997,nmp,bnk,0.08166049
1997,nmp,ore,0.016106615
1997,nmp,edu,0.073621199
1997,nmp,ote,0.213118882
1997,nmp,man,0.23267155
1997,nmp,mch,2.205224376
1997,nmp,dat,0.235057986
1997,nmp,amd,0.122759528
1997,nmp,oil,0.393546276
1997,nmp,hos,0.867828318
1997,nmp,rnt,0.093520385
1997,nmp,pla,1.494553711
1997,nmp,fof,0.053991186
1997,nmp,tsv,1.269055034
1997,nmp,nrs,0.254071462
1997,nmp,sec,0.052639611
1997,nmp,art,0.010075144
1997,nmp,mov,0.004022338
1997,nmp,fpd,0.50046941
1997,nmp,slg,1.415224593
1997,nmp,pri,0.00501452
1997,nmp,pip,0.001027527
1997,nmp,sle,0.751017182
1997,nmp,osv,0.725475892
1997,nmp,trn,0.024503443
1997,nmp,smn,0.142179598
1997,nmp,fmt,1.202001539
1997,nmp,pet,0.209659085
1997,nmp,mvt,0.214200115
1997,nmp,cep,1.887833258
1997,nmp,wst,0.092253375
1997,nmp,mot,5.916347142
1997,nmp,adm,0.355176983
1997,nmp,soc,0.111367218
1997,nmp,pmt,2.037678089
1997,nmp,trk,0.014733439
1997,nmp,fdd,0.009249214
1997,nmp,gmt,0.106305662
