yr,i,Value
2006,nmp,0.028009979
2006,ote,0.005247253
2006,mch,0.008474949
2006,oil,0.000299744
2006,pla,0.023597897
2006,fof,0.000277951
2006,mov,0.00034904
2006,fpd,0.001338151
2006,pri,0.00135196
2006,fmt,0.021972667
2006,pet,0.001916359
2006,cep,0.004155177
2006,mot,0.013457552
2006,alt,0.114167333
2006,pmt,0.003186334
2006,wpd,0.008045154
2006,che,0.008177665
2006,mmf,0.011698108
2006,min,0.001404494
2007,ppd,0.003102421
2007,fbp,0.015764665
2007,agr,0.001568081
2007,eec,0.019096194
2007,tex,0.060701944
2007,nmp,0.029531109
2007,ote,0.004650289
2007,mch,0.009173691
2007,oil,0.000306448
2007,pla,0.025062138
2007,fof,0.000345495
2007,mov,0.0004
2007,fpd,0.001380126
2007,pri,0.001197605
2007,fmt,0.022680496
2007,pet,0.001836268
2007,cep,0.004185997
2007,mot,0.014000991
2007,alt,0.122552718
2007,pmt,0.003564155
2007,wpd,0.009670878
2007,che,0.006790749
2007,mmf,0.012306623
2007,min,0.001574803
2008,ppd,0.003324122
2008,fbp,0.013163983
2008,agr,0.00100004
2008,eec,0.019882865
2008,tex,0.062665682
2008,nmp,0.029616378
2008,ote,0.005236937
2008,mch,0.009729356
2008,oil,0.000244453
2008,pla,0.026098027
2008,fof,0.000326052
2008,mov,0.00042337
2008,fpd,0.00139582
2008,pri,0.001217039
2008,fmt,0.023967641
2008,pet,0.001367455
2008,cep,0.004543611
2008,mot,0.014894371
2008,alt,0.127297739
2008,pmt,0.003749202
2008,wpd,0.010418809
2008,che,0.007050024
2008,mmf,0.012879729
2008,min,0.000858922
2009,ppd,0.003164065
2009,fbp,0.012745325
2009,agr,0.00115227
2009,eec,0.01929946
2009,tex,0.061820263
2009,nmp,0.030402046
2009,ote,0.004755691
2009,mch,0.00933771
2009,oil,0.000366693
2009,pla,0.027655519
2009,fof,0.000393825
2009,mov,0.000238379
2009,fpd,0.00155604
2009,pri,0.000990589
2009,fmt,0.022749119
2009,pet,0.001885897
2009,cep,0.004123907
2009,mot,0.013525591
2009,alt,0.125999679
2009,pmt,0.004035849
2009,wpd,0.012309848
2009,che,0.005510286
2009,mmf,0.012667073
2009,min,0.002074689
2010,ppd,0.003410138
2010,fbp,0.012583425
2010,agr,0.000883189
2010,eec,0.02051969
2010,tex,0.062741396
2010,nmp,0.031519287
2010,ote,0.006088825
2010,mch,0.009289862
2010,oil,0.000267511
2010,pla,0.035578774
2010,fof,0.000319939
2010,mov,0.0004363
2010,fpd,0.001464397
2010,pri,0.001273345
2010,fmt,0.024391354
2010,pet,0.001555309
2010,cep,0.004097378
2010,mot,0.013153896
2010,alt,0.129026297
2010,pmt,0.004000834
2010,wpd,0.012640929
2010,che,0.006907265
2010,mmf,0.013598908
2011,ppd,0.003733665
2011,fbp,0.011629992
2011,agr,0.001654448
2011,eec,0.020859221
2011,tex,0.064034492
2011,nmp,0.030713876
2011,ote,0.00543187
2011,mch,0.009601644
2011,oil,0.000233076
2011,pla,0.033566298
2011,fof,0.00036062
2011,mov,0.00039801
2011,fpd,0.001522953
2011,pri,0.000833333
2011,fmt,0.025554446
2011,pet,0.001166116
2011,cep,0.00398204
2011,mot,0.013344658
2011,alt,0.132329561
2011,pmt,0.003666863
2011,wpd,0.010661164
2011,che,0.007451778
2011,mmf,0.014899792
2012,ppd,0.004416756
2012,fbp,0.010930598
2012,agr,0.000860876
2012,eec,0.021076027
2012,tex,0.062507186
2012,nmp,0.031381804
2012,ote,0.005480817
2012,mch,0.009430335
2012,oil,0.000257712
2012,pla,0.03094734
2012,fof,0.000430346
2012,mov,0.000345483
2012,fpd,0.001489573
2012,pri,0.000806127
2012,osv,0.000893655
2012,fmt,0.024786099
2012,pet,0.001298701
2012,cep,0.004033578
2012,mot,0.013609273
2012,alt,0.131371291
2012,pmt,0.004100206
2012,wpd,0.010008095
2012,che,0.007821063
2012,mmf,0.015533589
2013,ppd,0.004359237
2013,fbp,0.012111892
2013,agr,0.000810068
2013,eec,0.022276861
2013,tex,0.06495682
2013,nmp,0.033057851
2013,ote,0.004829654
2013,mch,0.009769461
2013,oil,0.000251722
2013,pla,0.028022663
2013,fof,0.000555624
2013,mov,0.00019044
2013,fpd,0.001609848
2013,pri,0.000845666
2013,osv,0.001492092
2013,fmt,0.025859317
2013,pet,0.001187794
2013,cep,0.003876965
2013,mot,0.014060626
2013,alt,0.138103393
2013,pmt,0.003693686
2013,wpd,0.010237172
2013,che,0.009094159
2013,mmf,0.016941498
2014,ppd,0.004443327
2014,fbp,0.012301673
2014,agr,0.000953633
2014,eec,0.021577045
2014,tex,0.062785977
2014,nmp,0.032329798
2014,ote,0.004358719
2014,mch,0.00925944
2014,oil,0.000266937
2014,pla,0.02818954
2014,fof,0.000499667
2014,mov,0.000171057
2014,fpd,0.001466937
2014,pri,0.000816327
2014,osv,0.001502404
2014,fmt,0.024959575
2014,pet,0.001286477
2014,cep,0.003913765
2014,mot,0.013614818
2014,alt,0.134911606
2014,pmt,0.003791885
2014,wpd,0.010017545
2014,che,0.010407882
2014,mmf,0.016945966
2014,min,0.001715266
2015,ppd,0.004566015
2015,fbp,0.01211524
2015,agr,0.001067069
2015,eec,0.021111051
2015,tex,0.06177328
2015,nmp,0.031953731
2015,ote,0.004359099
2015,mch,0.009253821
2015,oil,0.000626174
2015,pla,0.027463954
2015,fof,0.000547945
2015,mov,0.000122354
2015,fpd,0.001469955
2015,pri,0.000761035
2015,osv,0.000772201
2015,fmt,0.023875778
2015,pet,0.002173807
2015,cep,0.003735998
2015,mot,0.013414494
2015,alt,0.133383871
2015,pmt,0.004242018
2015,wpd,0.010663313
2015,che,0.0091109
2015,mmf,0.015653049
2015,min,0.001124859
2016,ppd,0.004819911
2016,fbp,0.012684308
2016,agr,0.001101432
2016,eec,0.021544324
2016,tex,0.061952503
2016,nmp,0.033167842
2016,ote,0.004424535
2016,mch,0.009275187
2016,oil,0.000891888
2016,pla,0.028665267
2016,fof,0.000540281
2016,mov,0.000132013
2016,fpd,0.001517636
2016,pri,0.000768049
2016,osv,0.00022604
2016,fmt,0.02437209
2016,pet,0.003037469
2016,cep,0.003233647
2016,mot,0.01221426
2016,alt,0.1404519
2016,pmt,0.004597665
2016,wpd,0.010764477
2016,che,0.009230369
2016,mmf,0.016110705
2016,min,0.006493506
2017,ppd,0.005070203
2017,fbp,0.011897485
2017,agr,0.001040017
2017,eec,0.020537266
2017,tex,0.062398598
2017,nmp,0.032304519
2017,ote,0.004365635
2017,mch,0.00889529
2017,oil,0.000916432
2017,pla,0.028904311
2017,fof,0.000544247
2017,fpd,0.001679468
2017,pri,0.000365364
2017,fmt,0.025047173
2017,pet,0.002438809
2017,cep,0.002640622
2017,mot,0.012362152
2017,alt,0.14143356
2017,pmt,0.004496043
2017,wpd,0.010681587
2017,che,0.010156346
2017,mmf,0.015828718
