yr,va,j,Value
1998,surplus,nrs,3.424940791
1998,surplus,sec,13.57337814
1998,surplus,art,15.93645635
1998,surplus,mov,27.83932516
1998,surplus,fpd,8.070261869
1998,surplus,slg,79.74218395
1998,surplus,pri,5.576314339
1998,surplus,grd,6.160067798
1998,surplus,pip,5.229206433
1998,surplus,sle,31.59857478
1998,surplus,osv,84.59133035
1998,surplus,trn,5.676493609
1998,surplus,smn,3.535685516
1998,surplus,fmt,35.58550879
1998,surplus,pet,37.56260905
1998,surplus,mvt,31.80046218
1998,surplus,cep,69.32864269
1998,surplus,wst,7.573344958
1998,surplus,mot,50.52327851
1998,surplus,adm,40.30810674
1998,surplus,soc,7.65619623
1998,surplus,alt,5.280153381
1998,surplus,pmt,15.00347388
1998,surplus,trk,29.36211464
1998,surplus,fdd,102.1180722
1998,surplus,gmt,12.44459154
1998,surplus,wtt,2.82202262
1998,surplus,wpd,6.444095572
1998,surplus,wht,145.2819146
1998,surplus,wrh,6.029833178
1998,surplus,ott,82.34565589
1998,surplus,che,109.3450372
1998,surplus,air,11.7991771
1998,surplus,mmf,20.22166792
1998,surplus,otr,14.45073393
1998,surplus,min,11.90140555
1998,compen,ppd,32.59085884
1998,compen,res,108.1152174
1998,compen,com,78.55878381
1998,compen,amb,197.1416853
1998,compen,fbp,66.21767373
1998,compen,rec,24.33383968
1998,compen,con,254.0966631
1998,compen,agr,18.03908279
1998,compen,eec,28.1312466
1998,compen,fnd,75.6607487
1998,compen,pub,61.15735086
1998,compen,hou,9.396771788
1998,compen,fbt,61.21797845
1998,compen,ins,122.1488048
1998,compen,tex,20.57932686
1998,compen,leg,65.68426692
1998,compen,fen,48.7705818
1998,compen,uti,43.13533027
1998,compen,nmp,23.31855862
1998,compen,brd,86.79667321
1998,compen,bnk,123.9050406
1998,compen,ore,37.53712707
1998,compen,edu,64.55362955
1998,compen,ote,49.99331083
1998,compen,man,118.8411539
1998,compen,mch,74.80237557
1998,compen,dat,23.86164126
1998,compen,amd,41.92628039
1998,compen,oil,12.30766086
1998,compen,hos,148.0979197
1998,compen,rnt,20.91863388
1998,compen,pla,36.64061256
1998,compen,fof,9.661067447
1998,compen,fin,0.94977528
1998,compen,tsv,223.7108901
1998,compen,nrs,56.17843154
1998,compen,sec,107.1415164
1998,compen,art,21.59333217
1998,compen,mov,19.24356547
1998,compen,fpd,21.14118255
1998,compen,slg,645.184946
1998,compen,pri,33.38496039
1998,compen,grd,9.209101356
1998,compen,pip,3.560098111
1998,compen,sle,48.06022748
1998,compen,osv,153.0964208
1998,compen,trn,15.89999421
1998,compen,smn,9.690852822
1998,compen,fmt,74.45254831
1998,compen,pet,10.59160017
1998,compen,mvt,69.11546686
1998,compen,cep,118.077791
1998,compen,wst,12.87702028
1998,compen,mot,71.22543671
1998,compen,adm,164.8702885
1998,compen,soc,34.58030309
1998,compen,alt,17.6232919
1998,compen,pmt,36.59668294
1998,compen,trk,51.73329589
1998,compen,fdd,113.5075619
1998,compen,gmt,48.90431473
1998,compen,wtt,3.135580689
1998,compen,wpd,20.34579704
1998,compen,wht,286.5029175
1998,compen,wrh,18.31389789
1998,compen,ott,179.8711828
1998,compen,che,66.7422339
1998,compen,air,36.12576855
1998,compen,mmf,33.93402304
1998,compen,otr,43.71562862
1998,compen,min,14.0017707
1999,surplus,ppd,25.50521718
1999,surplus,res,38.69303547
1999,surplus,com,6.798136054
1999,surplus,amb,59.92272508
1999,surplus,fbp,76.44906083
1999,surplus,rec,15.04333632
1999,surplus,con,134.6215411
1999,surplus,agr,65.57303957
1999,surplus,eec,14.26108788
1999,surplus,fnd,54.31430988
1999,surplus,pub,66.52148186
1999,surplus,hou,749.9059445
1999,surplus,fbt,24.01520423
1999,surplus,ins,93.07555235
1999,surplus,tex,7.143271106
1999,surplus,leg,46.90024679
1999,surplus,fen,12.0981762
1999,surplus,uti,99.23103717
1999,surplus,nmp,17.64061818
1999,surplus,brd,128.0805683
1999,surplus,bnk,164.6106013
1999,surplus,ore,119.5148381
1999,surplus,edu,14.3217409
1999,surplus,ote,21.51871498
1999,surplus,man,16.45811809
1999,surplus,mch,32.60376621
1999,surplus,dat,13.6761884
1999,surplus,amd,25.27556876
1999,surplus,oil,23.41369378
1999,surplus,hos,22.38784649
1999,surplus,rnt,95.61375188
1999,surplus,pla,25.71921927
1999,surplus,fof,10.11058137
1999,surplus,fin,14.16707543
1999,surplus,tsv,124.6418973
1999,surplus,nrs,3.526416668
1999,surplus,sec,3.472173032
1999,surplus,art,17.20781011
1999,surplus,mov,38.71671366
1999,surplus,fpd,8.575705539
1999,surplus,slg,84.87265763
1999,surplus,pri,7.137145761
1999,surplus,grd,6.574718962
1999,surplus,pip,5.551806343
1999,surplus,sle,33.1375149
1999,surplus,osv,89.53439871
1999,surplus,trn,5.521642112
1999,surplus,smn,1.642551171
1999,surplus,fmt,37.85583901
1999,surplus,pet,32.29648675
1999,surplus,mvt,34.45926439
1999,surplus,cep,53.76067776
1999,surplus,wst,9.079358534
1999,surplus,mot,55.45958348
1999,surplus,adm,44.77026692
1999,surplus,soc,8.242597832
1999,surplus,alt,5.444893909
1999,surplus,pmt,11.47315746
1999,surplus,trk,30.97842039
1999,surplus,fdd,101.5383091
1999,surplus,gmt,12.5158361
1999,surplus,wtt,2.659011664
1999,surplus,wpd,7.006362629
1999,surplus,wht,147.9050407
1999,surplus,wrh,6.813957531
1999,surplus,ott,79.7267068
1999,surplus,che,113.7580942
1999,surplus,air,9.563519592
1999,surplus,mmf,21.06165618
1999,surplus,otr,11.40941535
1999,surplus,min,12.60818682
1999,compen,ppd,33.41238617
1999,compen,res,118.0363456
1999,compen,com,93.22559764
1999,compen,amb,205.9556411
1999,compen,fbp,69.00812897
1999,compen,rec,26.10399372
1999,compen,con,279.2615135
1999,compen,agr,18.69794461
1999,compen,eec,29.49084211
1999,compen,fnd,79.59357377
1999,compen,pub,70.41896392
1999,compen,hou,9.895592599
1999,compen,fbt,62.70862001
1999,compen,ins,127.6896899
1999,compen,tex,20.40140463
1999,compen,leg,68.91722363
1999,compen,fen,50.04970085
1999,compen,uti,47.24229125
1999,compen,nmp,24.46908385
1999,compen,brd,100.2206422
1999,compen,bnk,130.8904858
1999,compen,ore,40.88470201
1999,compen,edu,69.68696939
1999,compen,ote,51.00662015
1999,compen,man,126.5912689
1999,compen,mch,75.90645412
1999,compen,dat,25.99151551
1999,compen,amd,46.48118966
1999,compen,oil,12.31942317
1999,compen,hos,155.8589254
1999,compen,rnt,22.46767505
1999,compen,pla,38.6002309
1999,compen,fof,10.60785568
1999,compen,fin,1.010713985
1999,compen,tsv,242.2392488
1999,compen,nrs,59.82506869
1999,compen,sec,118.5249045
1999,compen,art,23.8204096
1999,compen,mov,19.46600618
1999,compen,fpd,22.55504904
1999,compen,slg,686.6552262
1999,compen,pri,34.22136617
1999,compen,grd,10.23145029
1999,compen,pip,3.876683667
1999,compen,sle,51.10982825
1999,compen,osv,159.7549428
1999,compen,trn,16.41837673
1999,compen,smn,8.996770329
1999,compen,fmt,76.33082026
1999,compen,pet,11.01299349
1999,compen,mvt,73.37698257
1999,compen,cep,128.1874975
1999,compen,wst,13.65964491
1999,compen,mot,76.99340327
1999,compen,adm,178.4232851
1999,compen,soc,38.78117302
1999,compen,alt,16.42081005
1999,compen,pmt,37.0403058
1999,compen,trk,56.23081111
1999,compen,fdd,115.1290052
1999,compen,gmt,50.72650059
1999,compen,wtt,3.292691838
1999,compen,wpd,21.58158452
1999,compen,wht,299.6154043
1999,compen,wrh,17.32848717
