yr,i,fd,value
2017,min,def_equipment,-9.99E-09
2017,ppd,changinv,0.109851221
2017,res,changinv,-9.99E-09
2017,com,changinv,-9.99E-09
2017,amb,changinv,-9.99E-09
2017,fbp,changinv,4.003489549
2017,rec,changinv,-9.99E-09
2017,con,changinv,-9.99E-09
2017,agr,changinv,-5.44E-09
2017,eec,changinv,1.67324456
2017,fnd,changinv,-9.99E-09
2017,pub,changinv,1.579020758
2017,hou,changinv,-9.99E-09
2017,fbt,changinv,0
2017,ins,changinv,-9.99E-09
2017,tex,changinv,0.746411131
2017,leg,changinv,-9.99E-09
2017,fen,changinv,-9.99E-09
2017,uti,changinv,-9.99E-09
2017,nmp,changinv,0.698564625
2017,brd,changinv,-9.99E-09
2017,bnk,changinv,-9.99E-09
2017,ore,changinv,-9.99E-09
2017,edu,changinv,-9.99E-09
2017,ote,changinv,1.173878923
2017,man,changinv,-9.99E-09
2017,mch,changinv,3.547725425
2017,dat,changinv,-9.99E-09
2017,amd,changinv,-9.99E-09
2017,oil,changinv,-5.47E-09
2017,hos,changinv,-9.99E-09
2017,rnt,changinv,-9.99E-09
2017,pla,changinv,1.328862999
2017,fof,changinv,0.796270369
2017,fin,changinv,-9.99E-09
2017,tsv,changinv,-9.99E-09
2017,nrs,changinv,-9.99E-09
2017,sec,changinv,-9.99E-09
2017,art,changinv,-9.99E-09
2017,mov,changinv,0.063850041
2017,fpd,changinv,2.34438956
2017,slg,changinv,-9.99E-09
2017,pri,changinv,0.363251959
2017,grd,changinv,-9.99E-09
2017,pip,changinv,-9.99E-09
2017,sle,changinv,-9.99E-09
2017,osv,changinv,-9.99E-09
2017,trn,changinv,-9.99E-09
2017,smn,changinv,0.008983189
2017,fmt,changinv,4.206295457
2017,pet,changinv,-5.48E-09
2017,mvt,changinv,0
2017,cep,changinv,2.527047766
2017,wst,changinv,-9.99E-09
2017,mot,changinv,10.57931629
2017,adm,changinv,-9.99E-09
2017,soc,changinv,-9.99E-09
2017,alt,changinv,-5.41E-09
2017,pmt,changinv,3.008587891
2017,trk,changinv,-9.99E-09
2017,fdd,changinv,-9.99E-09
2017,gmt,changinv,0
2017,wtt,changinv,-9.99E-09
2017,wpd,changinv,0.43339967
2017,wht,changinv,-9.99E-09
2017,wrh,changinv,-9.99E-09
2017,ott,changinv,-9.99E-09
2017,che,changinv,-5.43E-09
2017,air,changinv,-9.99E-09
2017,mmf,changinv,1.732275073
2017,otr,changinv,-9.99E-09
2017,min,changinv,-5.50E-09
2017,ppd,def_structures,-9.99E-09
2017,res,def_structures,-9.99E-09
2017,com,def_structures,-9.99E-09
2017,amb,def_structures,-9.99E-09
2017,fbp,def_structures,-9.99E-09
2017,rec,def_structures,-9.99E-09
2017,con,def_structures,3.77384312
2017,agr,def_structures,-9.99E-09
2017,eec,def_structures,-9.99E-09
2017,fnd,def_structures,-9.99E-09
2017,pub,def_structures,-9.99E-09
2017,hou,def_structures,-9.99E-09
2017,fbt,def_structures,0
2017,ins,def_structures,-9.99E-09
2017,tex,def_structures,-9.99E-09
2017,leg,def_structures,-9.99E-09
2017,fen,def_structures,-9.99E-09
2017,uti,def_structures,-9.99E-09
2017,nmp,def_structures,-9.99E-09
2017,brd,def_structures,-9.99E-09
2017,bnk,def_structures,-9.99E-09
2017,ore,def_structures,-9.99E-09
2017,edu,def_structures,-9.99E-09
2017,ote,def_structures,-9.99E-09
2017,man,def_structures,-9.99E-09
2017,mch,def_structures,-9.99E-09
2017,dat,def_structures,-9.99E-09
2017,amd,def_structures,-9.99E-09
2017,oil,def_structures,-9.99E-09
2017,hos,def_structures,-9.99E-09
2017,rnt,def_structures,-9.99E-09
2017,pla,def_structures,-9.99E-09
2017,fof,def_structures,-9.99E-09
