,adm,agr,air,alt,amb,amd,art,bnk,brd,cep,che,com,con,dat,edu,eec,fbp,fbt,fdd,fen,fin,fmt,fnd,fof,fpd,gmt,grd,hos,hou,ins,leg,man,mch,min,mmf,mot,mov,mvt,nmp,nrs,oil,ore,osv,ote,otr,ott,pet,pip,pla,pmt,ppd,pri,pub,rec,res,rnt,sec,sle,slg,smn,soc,tex,trk,trn,tsv,uti,wht,wpd,wrh,wst,wtt
el,4.89721492,4.803685911,0,0,3.730340986,1.974235146,0.4660336,3.042177418,5.776167527,0.250944725,4.394307804,1.23288153,9.365919975,3.75645761,2.455612,0.209178824,3.061309035,7.55405722,7.62866522,2.566521023,1.3557036,1.281314377,1.437708119,0.063492399,0.200143961,6.24426654,0,5.924956818,0.526801037,0.598836944,0.571730269,5.050066927,0.677879249,1.477560303,0.248931993,0.931591259,0.267775647,2.401595295,1.453438301,2.464369144,2.140636814,18.78050778,5.325131702,0.73127374,0,15.02600167,2.372648333,0.321141233,1.44476233,1.356448679,1.962058163,0.37877179,0.545552379,1.385862067,13.1832361,1.362021586,3.222169999,26.29349227,46.73909561,0.289222205,1.070086357,0.251014591,0,0,6.109746192,23.91622454,9.976531928,0.591630437,4.548041627,0.851523424,0
foss,2.268976977,12.22379605,7.015145156,0,1.728340848,0.914702294,0.215922612,1.409501222,2.676213094,0.638571521,11.18206399,0.571218486,23.83317815,1.740441207,1.137733683,0.532291095,7.790020722,3.49994452,3.534511789,1.1891201,0.6281244,3.260522331,0.666118643,0.161567211,0.509300387,2.893092498,1.468834885,2.745150076,0.24407718,0.277453429,0.264894023,2.339796164,1.724978807,3.759903582,0.633449792,2.370592034,0.124065801,1.112706724,3.698521087,1.141791043,5.447214709,8.701381694,2.467239273,1.860850458,11.95638924,6.961844443,6.037607144,0.817198515,3.676443424,3.451714508,4.992790779,0.963849279,0.252765185,0.642097403,6.108054793,0.631051594,1.49289518,12.18229642,21.65514982,0.735975098,0.495792199,0.638749334,35.74470493,3.320327305,2.830766303,60.8589031,4.622325224,1.505504324,2.107197893,0.394527671,3.074739628
